Strike,Maturity,Theta
1700.0,0.246,0.09099547
2300.0,0.419,0.05227505
2350.0,0.093,0.0497125
2350.0,0.112,0.045594856
2400.0,0.419,0.045716073
2550.0,0.342,0.036805592
2600.0,0.093,0.0348758
2600.0,0.17,0.032110024
2650.0,0.342,0.031642303
2660.0,0.246,0.030671427
2675.0,0.112,0.029007722
2700.0,0.093,0.02845202
2700.0,0.093,0.02845202
2700.0,0.246,0.028925573
2715.0,0.112,0.026771693
2725.0,0.036000000000000004,0.03603623
2740.0,0.016,0.04176426
2745.0,0.093,0.025482636
2750.0,0.011,0.042376697
2750.0,0.016,0.03996613
2750.0,0.036000000000000004,0.032707043
2750.0,0.17,0.025532812
2750.0,0.591,0.027373653
2750.0,1.588,0.031701252
2755.0,0.093,0.024826303
2755.0,0.17,0.025310012
2760.0,0.011,0.040465083
2760.0,0.016,0.038201477
2765.0,0.093,0.024173168
2770.0,0.093,0.023848128
2775.0,0.016,0.035622485
2775.0,0.07400000000000001,0.02427398
2775.0,1.588,0.031711347
2790.0,0.112,0.022544209
2795.0,0.005,0.036563843
2800.0,0.005,0.035615236
2800.0,0.011,0.03324175
2800.0,0.036000000000000004,0.026461974
2800.0,0.591,0.02559205
2805.0,0.036000000000000004,0.025874013
2805.0,0.093,0.02161127
2810.0,0.005,0.033759266
2810.0,0.011,0.031552378
2810.0,0.055,0.02281165
2815.0,0.03,0.025817078
2820.0,0.005,0.03195965
2820.0,0.016,0.02843975
2820.0,0.112,0.020892534
2820.0,0.203,0.023283731
2825.0,0.011,0.029112965
2825.0,0.07400000000000001,0.02053916
2825.0,2.585,0.032769535
2830.0,0.112,0.020352593
2835.0,0.011,0.027551899
2835.0,0.17,0.021763103
2840.0,0.005,0.028535757
2840.0,0.011,0.026791397
2840.0,0.036000000000000004,0.021973705
2840.0,0.07400000000000001,0.019483117
2840.0,0.131,0.020341171
2845.0,0.005,0.027717212
2845.0,0.036000000000000004,0.021448947
2845.0,0.112,0.019555047
2850.0,0.005,0.02691389
2850.0,0.011,0.025311025
2850.0,0.036000000000000004,0.020932632
2850.0,0.203,0.022036852
2850.0,0.419,0.023372306
2850.0,0.841,0.025972966
2855.0,0.005,0.026125876
2865.0,0.036000000000000004,0.019435287
2865.0,0.07400000000000001,0.017801886
2870.0,0.07400000000000001,0.017478252
2870.0,0.112,0.018264338
2870.0,0.246,0.021946404
2875.0,0.011,0.02185135
2875.0,0.419,0.022479553
2880.0,0.005,0.02241797
2880.0,0.036000000000000004,0.018016625
2880.0,0.112,0.01776328
2885.0,0.011,0.020565081
2885.0,0.036000000000000004,0.017561484
2885.0,0.07400000000000001,0.016533645
2885.0,0.131,0.018213741
2890.0,0.005,0.021043727
2890.0,0.011,0.019942928
2890.0,0.016,0.019175285
2890.0,0.07400000000000001,0.016227765
2895.0,0.005,0.020379938
2895.0,0.011,0.019334741
2900.0,0.005,0.019731648
2900.0,0.011,0.01874051
2900.0,0.036000000000000004,0.01624941
2900.0,0.591,0.022236016
2900.0,2.585,0.03396491
2905.0,0.005,0.019098809
2905.0,0.055,0.015251126
2910.0,0.036000000000000004,0.015419289
2910.0,0.112,0.016319323
2915.0,0.005,0.01787918
2915.0,0.055,0.014584979
2920.0,0.011,0.016501868
2920.0,0.016,0.015964564
2920.0,0.036000000000000004,0.01462467
2920.0,0.055,0.014261538
2925.0,0.016,0.015473452
2925.0,0.03,0.014496801
2925.0,0.112,0.015633376
2925.0,0.17,0.017995106
2925.0,0.342,0.020601556
2930.0,0.005,0.01616343
2930.0,0.011,0.015464427
2930.0,0.03,0.014094833
2930.0,0.055,0.013633849
2930.0,0.093,0.014608525
2935.0,0.011,0.014965802
2935.0,0.036000000000000004,0.013498672
2940.0,0.016,0.014073872
2940.0,0.036000000000000004,0.01314073
2940.0,0.07400000000000001,0.013425966
2945.0,0.005,0.014581086
2945.0,0.011,0.014008163
2945.0,0.036000000000000004,0.012791357
2950.0,0.027000000000000003,0.012670653
2950.0,0.093,0.0136808725
2950.0,0.17,0.017031217
2950.0,0.342,0.019740473
2955.0,0.005,0.013598295
2955.0,0.016,0.012782497
2955.0,0.17,0.016843937
2960.0,0.044,0.011788577
2960.0,0.07400000000000001,0.01243828
2965.0,0.17,0.016475262
2970.0,0.011,0.0118379425
2980.0,0.011,0.0110557815
3000.0,0.016,0.009517087
3000.0,0.027000000000000003,0.009423416
3000.0,0.063,0.010238551
3000.0,0.591,0.019101119
3000.0,1.588,0.029896092
3005.0,0.016,0.009206826
3015.0,0.112,0.012081297
3025.0,0.07400000000000001,0.009740333
3025.0,0.17,0.014439722
