Strike,Maturity,Theta
2200.0,0.419,0.05895634
2325.0,0.112,0.046938296
2400.0,0.093,0.046664134
2510.0,0.17,0.036032595
2525.0,0.036000000000000004,0.06414665
2525.0,0.342,0.038233552
2550.0,0.112,0.035591006
2550.0,0.151,0.03413377
2580.0,0.17,0.032975666
2590.0,0.17,0.032542776
2625.0,0.093,0.033311702
2625.0,0.112,0.03172268
2625.0,0.342,0.03285265
2650.0,0.17,0.02994176
2650.0,1.588,0.03125793
2675.0,0.044,0.03979116
2685.0,0.027000000000000003,0.045728248
2700.0,0.591,0.029250525
2725.0,0.131,0.026109912
2750.0,0.093,0.02515412
2760.0,0.036000000000000004,0.031409763
2770.0,0.011,0.0385935
2770.0,0.016,0.03647271
2780.0,0.005,0.039489016
2780.0,0.011,0.036764286
2785.0,0.07400000000000001,0.023504175
2785.0,0.093,0.022880308
2790.0,0.011,0.03497968
2790.0,0.044,0.026200976
2795.0,0.016,0.032321952
2795.0,0.055,0.024189213
2800.0,0.246,0.024745462
2800.0,1.09,0.029368741
2805.0,0.011,0.032390893
2805.0,0.027000000000000003,0.027739208
2810.0,0.03,0.026440142
2810.0,0.093,0.02129857
2810.0,0.203,0.023703285
2815.0,0.005,0.032852296
2815.0,0.011,0.030726444
2815.0,0.055,0.022362286
2820.0,0.036000000000000004,0.02415509
2825.0,0.005,0.03108151
2825.0,0.036000000000000004,0.023597647
2825.0,0.17,0.022201397
2830.0,0.005,0.030218044
2830.0,0.011,0.028325813
2830.0,0.036000000000000004,0.023048177
2830.0,0.07400000000000001,0.020183414
2835.0,0.005,0.029369416
2835.0,0.036000000000000004,0.022506814
2835.0,0.07400000000000001,0.019831393
2845.0,0.011,0.026044397
2850.0,0.112,0.019292826
2850.0,1.588,0.031488635
2850.0,2.585,0.033179168
2855.0,0.011,0.024591373
2855.0,0.036000000000000004,0.020424878
2855.0,0.07400000000000001,0.018462047
2860.0,0.005,0.025353275
2860.0,0.011,0.023885498
2860.0,0.036000000000000004,0.019925738
2860.0,0.07400000000000001,0.018129848
2860.0,0.112,0.018774355
2860.0,0.285,0.022751614
2865.0,0.005,0.02459615
2865.0,0.011,0.023193518
2865.0,0.112,0.01851827
2870.0,0.005,0.02385452
2870.0,0.011,0.02251544
2870.0,0.036000000000000004,0.0189536
2875.0,0.005,0.023128472
2875.0,0.036000000000000004,0.018480696
2875.0,0.07400000000000001,0.017158924
2875.0,0.112,0.018012658
2875.0,0.189,0.020654961
2875.0,0.285,0.022179227
2875.0,0.591,0.023053978
2875.0,0.841,0.025238657
2880.0,0.011,0.021201218
2880.0,0.07400000000000001,0.016844057
2880.0,0.189,0.020450039
2885.0,0.005,0.021723066
2890.0,0.036000000000000004,0.017115198
2890.0,0.131,0.017985867
2895.0,0.036000000000000004,0.016677843
2895.0,0.112,0.01702978
2900.0,0.112,0.016790329
2900.0,0.203,0.020018522
2900.0,0.342,0.021487087
2900.0,0.841,0.024500376
2905.0,0.011,0.018160162
2905.0,0.016,0.01751294
2905.0,0.036000000000000004,0.015829902
2910.0,0.005,0.018481335
2910.0,0.011,0.017593654
2910.0,0.016,0.016984237
2910.0,0.07400000000000001,0.015050446
2915.0,0.011,0.017040888
2915.0,0.03,0.015329934
2920.0,0.005,0.017292183
2925.0,0.005,0.016720328
2925.0,0.011,0.01597639
2925.0,0.055,0.013944491
2935.0,0.016,0.014528216
2935.0,0.07400000000000001,0.013684805
2940.0,0.011,0.014480434
2940.0,0.17,0.017411385
2945.0,0.016,0.013631565
2945.0,0.055,0.012740121
2945.0,0.093,0.013907223
2950.0,0.005,0.014082593
2950.0,0.016,0.013201153
2950.0,0.036000000000000004,0.012450481
2950.0,0.063,0.012624629
2955.0,0.011,0.013102355
2955.0,0.063,0.012361642
2960.0,0.016,0.01237545
2970.0,0.016,0.011595552
2975.0,0.005,0.011799053
2975.0,0.016,0.011222362
2975.0,0.036000000000000004,0.010870724
2975.0,0.093,0.012605124
2975.0,0.419,0.01911191
2985.0,0.112,0.013154342
2985.0,0.246,0.017739354
3000.0,0.17,0.015249617
3000.0,1.09,0.024489623
3005.0,0.112,0.012426492
3015.0,0.016,0.008615486
3020.0,0.17,0.014597187
3035.0,0.151,0.013328652
3040.0,0.093,0.010240851
3100.0,0.093,0.008577448
4200.0,2.585,0.016800528
