Strike,Maturity,Theta
1700.0,0.246,16.229202
2300.0,0.419,66.810585
2350.0,0.093,67.983406
2350.0,0.112,59.16605
2400.0,0.419,71.53363
2550.0,0.342,89.315735
2600.0,0.093,100.91649
2600.0,0.17,122.37541
2650.0,0.342,113.74243
2660.0,0.246,130.04898
2675.0,0.112,174.5101
2700.0,0.093,198.82077
2700.0,0.093,198.82077
2700.0,0.246,140.08624
2715.0,0.112,209.23624
2725.0,0.036000000000000004,176.68073
2740.0,0.016,168.41531
2745.0,0.093,245.69899
2750.0,0.011,174.4671
2750.0,0.016,182.04468
2750.0,0.036000000000000004,223.8598
2750.0,0.17,184.99167
2750.0,0.591,109.07226
2750.0,1.588,75.42176
2755.0,0.093,253.8707
2755.0,0.17,185.79813
2760.0,0.011,189.07294
2760.0,0.016,199.29184
2765.0,0.093,260.75876
2770.0,0.093,263.72055
2775.0,0.016,232.10747
2775.0,0.07400000000000001,287.0562
2775.0,1.588,78.101906
2790.0,0.112,248.42302
2795.0,0.005,249.16287
2800.0,0.005,262.91486
2800.0,0.011,284.2186
2800.0,0.036000000000000004,333.4929
2800.0,0.591,114.131134
2805.0,0.036000000000000004,342.17532
2805.0,0.093,278.30316
2810.0,0.005,291.7517
2810.0,0.011,312.97574
2810.0,0.055,336.1394
2815.0,0.03,357.0171
2820.0,0.005,320.32605
2820.0,0.016,351.6074
2820.0,0.112,257.4098
2820.0,0.203,179.03369
2825.0,0.011,351.9845
2825.0,0.07400000000000001,314.9284
2825.0,2.585,75.43121
2830.0,0.112,260.04184
2835.0,0.011,371.85013
2835.0,0.17,202.57043
2840.0,0.005,364.81714
2840.0,0.011,379.16272
2840.0,0.036000000000000004,380.15134
2840.0,0.07400000000000001,318.79492
2840.0,0.131,238.85738
2845.0,0.005,371.12762
2845.0,0.036000000000000004,381.95514
2845.0,0.112,261.72546
2850.0,0.005,374.84195
2850.0,0.011,387.36322
2850.0,0.036000000000000004,382.53912
2850.0,0.203,181.53581
2850.0,0.419,128.45486
2850.0,0.841,109.32626
2855.0,0.005,375.6734
2865.0,0.036000000000000004,374.9643
2865.0,0.07400000000000001,312.5519
2870.0,0.07400000000000001,308.73907
2870.0,0.112,256.1764
2870.0,0.246,162.16434
2875.0,0.011,359.9655
2875.0,0.419,130.65593
2880.0,0.005,331.94266
2880.0,0.036000000000000004,350.14926
2880.0,0.112,250.93909
2885.0,0.011,328.4186
2885.0,0.036000000000000004,337.78162
2885.0,0.07400000000000001,292.01352
2885.0,0.131,228.88344
2890.0,0.005,296.31094
2890.0,0.011,309.4574
2890.0,0.016,317.51978
2890.0,0.07400000000000001,284.75067
2895.0,0.005,277.2157
2895.0,0.011,289.3379
2900.0,0.005,258.39252
2900.0,0.011,268.8993
2900.0,0.036000000000000004,289.41766
2900.0,0.591,123.19929
2900.0,2.585,75.84658
2905.0,0.005,240.53125
2905.0,0.055,268.24002
2910.0,0.036000000000000004,250.14291
2910.0,0.112,225.42453
2915.0,0.005,209.36032
2915.0,0.055,236.51486
2920.0,0.011,197.50371
2920.0,0.016,199.21568
2920.0,0.036000000000000004,209.51959
2920.0,0.055,219.19809
2925.0,0.016,183.96254
2925.0,0.03,187.49252
2925.0,0.112,206.86003
2925.0,0.17,181.72568
2925.0,0.342,140.35135
2930.0,0.005,175.07819
2930.0,0.011,172.1597
2930.0,0.03,170.59065
2930.0,0.055,183.4118
2930.0,0.093,200.92545
2935.0,0.011,161.93863
2935.0,0.036000000000000004,156.35574
2940.0,0.016,149.10382
2940.0,0.036000000000000004,142.26167
2940.0,0.07400000000000001,163.83379
2945.0,0.005,152.1863
2945.0,0.011,145.3674
2945.0,0.036000000000000004,130.12396
2950.0,0.027000000000000003,123.81199
2950.0,0.093,150.07298
2950.0,0.17,163.38043
2950.0,0.342,136.63687
2955.0,0.005,140.79343
2955.0,0.016,126.64131
2955.0,0.17,158.50711
2960.0,0.044,101.24954
2960.0,0.07400000000000001,107.221306
2965.0,0.17,147.0199
2970.0,0.011,118.1499
2980.0,0.011,110.50342
3000.0,0.016,92.4089
3000.0,0.027000000000000003,81.5215
3000.0,0.063,61.683323
3000.0,0.591,112.160065
3000.0,1.588,86.681946
3005.0,0.016,90.11007
3015.0,0.112,47.726093
3025.0,0.07400000000000001,51.40473
3025.0,0.17,47.886753
