Strike,Maturity,Theta
2200.0,0.419,56.042175
2325.0,0.112,57.609547
2400.0,0.093,71.42817
2510.0,0.17,74.99625
2525.0,0.036000000000000004,112.36897
2525.0,0.342,84.72922
2550.0,0.112,80.97407
2550.0,0.151,91.32913
2580.0,0.17,113.43713
2590.0,0.17,118.02945
2625.0,0.093,118.76019
2625.0,0.112,130.0927
2625.0,0.342,108.31627
2650.0,0.17,144.91708
2650.0,1.588,71.423904
2675.0,0.044,131.00171
2685.0,0.027000000000000003,133.76968
2700.0,0.591,101.493454
2725.0,0.131,205.14786
2750.0,0.093,249.93994
2760.0,0.036000000000000004,246.16243
2770.0,0.011,207.5623
2770.0,0.016,220.2851
2780.0,0.005,212.95758
2780.0,0.011,230.01346
2785.0,0.07400000000000001,294.87103
2785.0,0.093,270.9383
2790.0,0.011,255.95273
2790.0,0.044,318.72717
2795.0,0.016,285.67184
2795.0,0.055,322.51047
2800.0,0.246,156.60771
2800.0,1.09,96.443756
2805.0,0.011,298.6722
2805.0,0.027000000000000003,335.61557
2810.0,0.03,348.32068
2810.0,0.093,280.04068
2810.0,0.203,176.89156
2815.0,0.005,306.24625
2815.0,0.011,326.82996
2815.0,0.055,339.76373
2820.0,0.036000000000000004,363.4272
2825.0,0.005,333.6084
2825.0,0.036000000000000004,368.8827
2825.0,0.17,201.22284
2830.0,0.005,345.7035
2830.0,0.011,362.7102
2830.0,0.036000000000000004,373.5169
2830.0,0.07400000000000001,316.59198
2835.0,0.005,356.22836
2835.0,0.036000000000000004,377.29752
2835.0,0.07400000000000001,317.92145
2845.0,0.011,384.41272
2850.0,0.112,261.48248
2850.0,1.588,84.31776
2850.0,2.585,75.56077
2855.0,0.011,387.77002
2855.0,0.036000000000000004,381.70273
2855.0,0.07400000000000001,317.49945
2860.0,0.005,373.3815
2860.0,0.011,385.39423
2860.0,0.036000000000000004,379.2393
2860.0,0.07400000000000001,315.4673
2860.0,0.112,259.69586
2860.0,0.285,150.29274
2865.0,0.005,367.80386
2865.0,0.011,380.03073
2865.0,0.112,258.1519
2870.0,0.005,358.90466
2870.0,0.011,371.55258
2870.0,0.036000000000000004,368.73798
2875.0,0.005,346.82855
2875.0,0.036000000000000004,360.4756
2875.0,0.07400000000000001,304.03235
2875.0,0.112,253.77121
2875.0,0.189,188.27032
2875.0,0.285,150.78209
2875.0,0.591,120.44898
2875.0,0.841,112.29268
2880.0,0.011,345.4553
2880.0,0.07400000000000001,298.44885
2880.0,0.189,187.61676
2885.0,0.005,314.84332
2890.0,0.036000000000000004,323.4419
2890.0,0.131,226.22194
2895.0,0.036000000000000004,307.2544
2895.0,0.112,239.95853
2900.0,0.112,235.5062
2900.0,0.203,176.96672
2900.0,0.342,141.30737
2900.0,0.841,112.88454
2905.0,0.011,248.9437
2905.0,0.016,255.49026
2905.0,0.036000000000000004,270.2365
2910.0,0.005,224.10515
2910.0,0.011,230.12985
2910.0,0.016,235.26712
2910.0,0.07400000000000001,247.37326
2915.0,0.011,212.90742
2915.0,0.03,226.1933
2920.0,0.005,196.34705
2925.0,0.005,184.97624
2925.0,0.011,183.9545
2925.0,0.055,201.3375
2935.0,0.016,159.06415
2935.0,0.07400000000000001,179.49246
2940.0,0.011,153.07912
2940.0,0.17,171.7527
2945.0,0.016,140.5198
2945.0,0.055,134.58035
2945.0,0.093,163.84196
2950.0,0.005,146.20197
2950.0,0.016,133.09727
2950.0,0.036000000000000004,119.81658
2950.0,0.063,126.34346
2955.0,0.011,132.63425
2955.0,0.063,113.63951
2960.0,0.016,120.98394
2970.0,0.016,111.53376
2975.0,0.005,123.10118
2975.0,0.016,107.53792
2975.0,0.036000000000000004,88.38523
2975.0,0.093,87.63017
2975.0,0.419,126.11489
2985.0,0.112,80.108826
2985.0,0.246,128.87978
3000.0,0.17,86.66865
3000.0,1.09,90.65845
3005.0,0.112,54.324066
3015.0,0.016,86.079
3020.0,0.17,53.6603
3035.0,0.151,37.65057
3040.0,0.093,44.03058
3100.0,0.093,37.13318
4200.0,2.585,2.1279793
