Strike,Maturity,Dupire
1700.0,0.246,0.2197399
2300.0,0.419,0.37458622
2350.0,0.093,0.3611023
2350.0,0.112,0.34158555
2400.0,0.419,0.3291483
2550.0,0.342,0.27869326
2600.0,0.093,0.301156
2600.0,0.17,0.27365965
2650.0,0.342,0.24388081
2660.0,0.246,0.24570592
2675.0,0.112,0.2525317
2700.0,0.093,0.24282797
2700.0,0.093,0.24282797
2700.0,0.246,0.22665513
2715.0,0.112,0.22670801
2725.0,0.036000000000000004,0.26749274
2740.0,0.016,0.28008637
2745.0,0.093,0.20977496
2750.0,0.011,0.27609283
2750.0,0.016,0.2680781
2750.0,0.036000000000000004,0.24133147
2750.0,0.17,0.20089088
2750.0,0.591,0.19275141
2750.0,1.588,0.2166595
2755.0,0.093,0.20242338
2755.0,0.17,0.19797824
2760.0,0.011,0.2637502
2760.0,0.016,0.2561627
2765.0,0.093,0.19514729
2770.0,0.093,0.19154708
2775.0,0.016,0.23856686
2775.0,0.07400000000000001,0.19230239
2775.0,1.588,0.21214029
2790.0,0.112,0.17637561
2795.0,0.005,0.2299895
2800.0,0.005,0.22398461
2800.0,0.011,0.21617922
2800.0,0.036000000000000004,0.19149067
2800.0,0.591,0.17396106
2805.0,0.036000000000000004,0.18681623
2805.0,0.093,0.16733004
2810.0,0.005,0.21220526
2810.0,0.011,0.20494002
2810.0,0.055,0.17173053
2815.0,0.03,0.1819702
2820.0,0.005,0.20076028
2820.0,0.016,0.1890292
2820.0,0.112,0.15788732
2820.0,0.203,0.16468763
2825.0,0.011,0.18870477
2825.0,0.07400000000000001,0.15558814
2825.0,2.585,0.21515456
2830.0,0.112,0.15207428
2835.0,0.011,0.17833264
2835.0,0.17,0.15440047
2840.0,0.005,0.17898376
2840.0,0.011,0.17328948
2840.0,0.036000000000000004,0.15615976
2840.0,0.07400000000000001,0.14565091
2840.0,0.131,0.14809221
2845.0,0.005,0.17378767
2845.0,0.036000000000000004,0.1520964
2845.0,0.112,0.143713
2850.0,0.005,0.1686951
2850.0,0.011,0.1634984
2850.0,0.036000000000000004,0.14811583
2850.0,0.203,0.15058722
2850.0,0.419,0.1544953
2850.0,0.841,0.1649928
2855.0,0.005,0.16370764
2865.0,0.036000000000000004,0.1366769
2865.0,0.07400000000000001,0.13032345
2870.0,0.07400000000000001,0.12744664
2870.0,0.112,0.1307722
2870.0,0.246,0.14408053
2875.0,0.011,0.14080322
2875.0,0.419,0.14560145
2880.0,0.005,0.14038762
2880.0,0.036000000000000004,0.1259985
2880.0,0.112,0.12595028
2885.0,0.011,0.13245249
2885.0,0.036000000000000004,0.12260818
2885.0,0.07400000000000001,0.11919374
2885.0,0.131,0.12640235
2890.0,0.005,0.13182476
2890.0,0.011,0.12843348
2890.0,0.016,0.12604116
2890.0,0.07400000000000001,0.11656814
2895.0,0.005,0.12770753
2895.0,0.011,0.12451835
2900.0,0.005,0.12369916
2900.0,0.011,0.12070665
2900.0,0.036000000000000004,0.11293928
2900.0,0.591,0.14061083
2900.0,2.585,0.21391518
2905.0,0.005,0.11979902
2905.0,0.055,0.10824735
2910.0,0.036000000000000004,0.10690625
2910.0,0.112,0.11269611
2915.0,0.005,0.112320095
2915.0,0.055,0.10305923
2920.0,0.011,0.10647746
2920.0,0.016,0.1049561
2920.0,0.036000000000000004,0.101196125
2920.0,0.055,0.100567944
2925.0,0.016,0.10177787
2925.0,0.03,0.09911587
2925.0,0.112,0.10673725
2925.0,0.17,0.11682283
2925.0,0.342,0.12850681
2930.0,0.005,0.10188871
2930.0,0.011,0.09995888
2930.0,0.03,0.09634121
2930.0,0.055,0.09578664
2930.0,0.093,0.10110798
2935.0,0.011,0.09684406
2935.0,0.036000000000000004,0.093219176
2940.0,0.016,0.09279525
2940.0,0.036000000000000004,0.090712674
2940.0,0.07400000000000001,0.093647085
2945.0,0.005,0.09236853
2945.0,0.011,0.09089603
2945.0,0.036000000000000004,0.08828029
2950.0,0.027000000000000003,0.08614385
2950.0,0.093,0.09363284
2950.0,0.17,0.10874544
2950.0,0.342,0.121467814
2955.0,0.005,0.08650654
2955.0,0.016,0.08461025
2955.0,0.17,0.10724661
2960.0,0.044,0.08194476
2960.0,0.07400000000000001,0.08608351
2965.0,0.17,0.10436239
2970.0,0.011,0.07759092
2980.0,0.011,0.07285739
3000.0,0.016,0.06439079
3000.0,0.027000000000000003,0.065032
3000.0,0.063,0.070972316
3000.0,0.591,0.11542161
3000.0,1.588,0.16343692
3005.0,0.016,0.0625073
3015.0,0.112,0.079495706
3025.0,0.07400000000000001,0.06699436
3025.0,0.17,0.09003508
