Strike,Maturity,Dupire
1700.0,0.246,0.13686043
2300.0,0.419,0.35720804
2350.0,0.093,0.5646147
2350.0,0.112,0.5095392
2400.0,0.419,0.43586734
2550.0,0.342,0.22509682
2600.0,0.093,0.2940121
2600.0,0.17,0.2674106
2650.0,0.342,0.22834934
2660.0,0.246,0.21186136
2675.0,0.112,0.22548656
2700.0,0.093,0.21564731
2700.0,0.093,0.21564731
2700.0,0.246,0.2539643
2715.0,0.112,0.21633333
2725.0,0.036000000000000004,0.21392395
2740.0,0.016,0.24008003
2745.0,0.093,0.22257623
2750.0,0.011,0.23071961
2750.0,0.016,0.21531789
2750.0,0.036000000000000004,0.19117554
2750.0,0.17,0.2648173
2750.0,0.591,0.14571305
2750.0,1.588,0.16490424
2755.0,0.093,0.230199
2755.0,0.17,0.26149073
2760.0,0.011,0.20665857
2760.0,0.016,0.1970444
2765.0,0.093,0.23800364
2770.0,0.093,0.2410262
2775.0,0.016,0.17911005
2775.0,0.07400000000000001,0.22780286
2775.0,1.588,0.117197484
2790.0,0.112,0.229903
2795.0,0.005,0.16108274
2800.0,0.005,0.15638265
2800.0,0.011,0.16068006
2800.0,0.036000000000000004,0.19109347
2800.0,0.591,0.24913532
2805.0,0.036000000000000004,0.19097441
2805.0,0.093,0.21174967
2810.0,0.005,0.14845414
2810.0,0.011,0.15559241
2810.0,0.055,0.20674837
2815.0,0.03,0.17998877
2820.0,0.005,0.14123787
2820.0,0.016,0.15761364
2820.0,0.112,0.18530759
2820.0,0.203,0.18574935
2825.0,0.011,0.14669812
2825.0,0.07400000000000001,0.18697818
2825.0,2.585,0.3114947
2830.0,0.112,0.18373047
2835.0,0.011,0.13799608
2835.0,0.17,0.20014656
2840.0,0.005,0.1239746
2840.0,0.011,0.13280962
2840.0,0.036000000000000004,0.15820216
2840.0,0.07400000000000001,0.17304863
2840.0,0.131,0.19148228
2845.0,0.005,0.11892168
2845.0,0.036000000000000004,0.1515607
2845.0,0.112,0.18496433
2850.0,0.005,0.1138438
2850.0,0.011,0.12177698
2850.0,0.036000000000000004,0.14529783
2850.0,0.203,0.2057902
2850.0,0.419,0.18328404
2850.0,0.841,0.1268487
2855.0,0.005,0.10894915
2865.0,0.036000000000000004,0.12880862
2865.0,0.07400000000000001,0.14851415
2870.0,0.07400000000000001,0.14169446
2870.0,0.112,0.15238623
2870.0,0.246,0.15222183
2875.0,0.011,0.09977496
2875.0,0.419,0.13060768
2880.0,0.005,0.092116304
2880.0,0.036000000000000004,0.11494738
2880.0,0.112,0.13516265
2885.0,0.011,0.094771825
2885.0,0.036000000000000004,0.110832796
2885.0,0.07400000000000001,0.12360407
2885.0,0.131,0.12877364
2890.0,0.005,0.090235725
2890.0,0.011,0.09320121
2890.0,0.016,0.0959004
2890.0,0.07400000000000001,0.11908351
2895.0,0.005,0.09059522
2895.0,0.011,0.09236446
2900.0,0.005,0.09193697
2900.0,0.011,0.0923742
2900.0,0.036000000000000004,0.09963113
2900.0,0.591,0.14475684
2900.0,2.585,0.41417676
2905.0,0.005,0.09434266
2905.0,0.055,0.102828935
2910.0,0.036000000000000004,0.093496606
2910.0,0.112,0.11196296
2915.0,0.005,0.1026142
2915.0,0.055,0.094934806
2920.0,0.011,0.10291448
2920.0,0.016,0.09871675
2920.0,0.036000000000000004,0.089804724
2920.0,0.055,0.091205046
2925.0,0.016,0.10296418
2925.0,0.03,0.0919099
2925.0,0.112,0.106668994
2925.0,0.17,0.11287434
2925.0,0.342,0.1177578
2930.0,0.005,0.12449116
2930.0,0.011,0.115482606
2930.0,0.03,0.09379281
2930.0,0.055,0.085303605
2930.0,0.093,0.0967218
2935.0,0.011,0.12378569
2935.0,0.036000000000000004,0.09158739
2940.0,0.016,0.12347544
2940.0,0.036000000000000004,0.09448003
2940.0,0.07400000000000001,0.08184689
2945.0,0.005,0.15943213
2945.0,0.011,0.14479591
2945.0,0.036000000000000004,0.09858617
2950.0,0.027000000000000003,0.11922009
2950.0,0.093,0.07957185
2950.0,0.17,0.10775603
2950.0,0.342,0.1289798
2955.0,0.005,0.1919361
2955.0,0.016,0.15690947
2955.0,0.17,0.104148574
2960.0,0.044,0.1045095
2960.0,0.07400000000000001,0.07796793
2965.0,0.17,0.09476671
2970.0,0.011,0.23021574
2980.0,0.011,0.2830637
3000.0,0.016,0.34940556
3000.0,0.027000000000000003,0.2604987
3000.0,0.063,0.13996565
3000.0,0.591,0.17569938
3000.0,1.588,0.16487747
3005.0,0.016,0.36753318
3015.0,0.112,0.093161955
3025.0,0.07400000000000001,0.16121778
3025.0,0.17,0.06439003
