Strike,Maturity,Dupire
2200.0,0.419,0.28412086
2325.0,0.112,0.490933
2400.0,0.093,0.6159528
2510.0,0.17,0.2554694
2525.0,0.036000000000000004,0.96115065
2525.0,0.342,0.2656296
2550.0,0.112,0.3571671
2550.0,0.151,0.2477177
2580.0,0.17,0.2690913
2590.0,0.17,0.27023807
2625.0,0.093,0.24564317
2625.0,0.112,0.23396024
2625.0,0.342,0.20778172
2650.0,0.17,0.22013679
2650.0,1.588,0.14441173
2675.0,0.044,0.31201237
2685.0,0.027000000000000003,0.41393304
2700.0,0.591,0.2098705
2725.0,0.131,0.22802673
2750.0,0.093,0.22622883
2760.0,0.036000000000000004,0.18773857
2770.0,0.011,0.1888481
2770.0,0.016,0.18401034
2780.0,0.005,0.18016514
2780.0,0.011,0.17602693
2785.0,0.07400000000000001,0.23123202
2785.0,0.093,0.24030544
2790.0,0.011,0.16703257
2790.0,0.044,0.19975367
2795.0,0.016,0.16725004
2795.0,0.055,0.21425483
2800.0,0.246,0.16582926
2800.0,1.09,0.18484935
2805.0,0.011,0.15807629
2805.0,0.027000000000000003,0.17859966
2810.0,0.03,0.18191259
2810.0,0.093,0.20323987
2810.0,0.203,0.17250837
2815.0,0.005,0.14485276
2815.0,0.011,0.15300958
2815.0,0.055,0.20096254
2820.0,0.036000000000000004,0.18328074
2825.0,0.005,0.13743456
2825.0,0.036000000000000004,0.17802481
2825.0,0.17,0.18812996
2830.0,0.005,0.13331223
2830.0,0.011,0.14266346
2830.0,0.036000000000000004,0.17180409
2830.0,0.07400000000000001,0.18139315
2835.0,0.005,0.12881356
2835.0,0.036000000000000004,0.16505529
2835.0,0.07400000000000001,0.17685767
2845.0,0.011,0.12731677
2850.0,0.112,0.18257047
2850.0,1.588,0.34940836
2850.0,2.585,0.32930407
2855.0,0.011,0.116436385
2855.0,0.036000000000000004,0.13944909
2855.0,0.07400000000000001,0.16072214
2860.0,0.005,0.10442338
2860.0,0.011,0.11148307
2860.0,0.036000000000000004,0.13397226
2860.0,0.07400000000000001,0.15500057
2860.0,0.112,0.17049292
2860.0,0.285,0.17623635
2865.0,0.005,0.10040443
2865.0,0.011,0.10703015
2865.0,0.112,0.161739
2870.0,0.005,0.09697998
2870.0,0.011,0.1031247
2870.0,0.036000000000000004,0.12392232
2875.0,0.005,0.094203204
2875.0,0.036000000000000004,0.119303435
2875.0,0.07400000000000001,0.13503435
2875.0,0.112,0.1433167
2875.0,0.189,0.1482143
2875.0,0.285,0.1401538
2875.0,0.591,0.12534617
2875.0,0.841,0.14646934
2880.0,0.011,0.096982814
2880.0,0.07400000000000001,0.12893096
2880.0,0.189,0.13802546
2885.0,0.005,0.09077069
2890.0,0.036000000000000004,0.10692115
2890.0,0.131,0.12289163
2895.0,0.036000000000000004,0.10318237
2895.0,0.112,0.11865057
2900.0,0.112,0.115664184
2900.0,0.203,0.11374732
2900.0,0.342,0.11485528
2900.0,0.841,0.2526804
2905.0,0.011,0.09334363
2905.0,0.016,0.093003765
2905.0,0.036000000000000004,0.09635224
2910.0,0.005,0.09788218
2910.0,0.011,0.09537251
2910.0,0.016,0.0938066
2910.0,0.07400000000000001,0.10515234
2915.0,0.011,0.09854156
2915.0,0.03,0.09146566
2920.0,0.005,0.10859058
2925.0,0.005,0.11586301
2925.0,0.011,0.10854459
2925.0,0.055,0.087916374
2935.0,0.016,0.115295276
2935.0,0.07400000000000001,0.08514375
2940.0,0.011,0.13352498
2940.0,0.17,0.11219915
2945.0,0.016,0.1330793
2945.0,0.055,0.08319136
2945.0,0.093,0.083402544
2950.0,0.005,0.17460062
2950.0,0.016,0.14418866
2950.0,0.036000000000000004,0.10392717
2950.0,0.063,0.08052947
2955.0,0.011,0.1724831
2955.0,0.063,0.08173842
2960.0,0.016,0.17137435
2970.0,0.016,0.20616223
2975.0,0.005,0.29284894
2975.0,0.016,0.2267736
2975.0,0.036000000000000004,0.14950751
2975.0,0.093,0.07393039
2975.0,0.419,0.14335991
2985.0,0.112,0.06955146
2985.0,0.246,0.10020276
3000.0,0.17,0.06400878
3000.0,1.09,0.1053959
3005.0,0.112,0.08158449
3015.0,0.016,0.38022944
3020.0,0.17,0.06233214
3035.0,0.151,0.08530611
3040.0,0.093,0.15501276
3100.0,0.093,0.38138503
4200.0,2.585,0.04846396
