Strike,Maturity,Price
3858.6,0.2,0.13089877
3858.6,0.242,0.1224309
3858.6,0.284,0.11596943
3858.6,0.326,0.111256525
3858.6,0.368,0.10797057
3858.6,0.411,0.105743
3858.6,0.453,0.10439082
3858.6,0.495,0.10361329
3858.6,0.537,0.103212655
3858.6,0.579,0.10303799
3858.6,0.621,0.103002645
3858.6,0.663,0.10301967
3858.6,0.705,0.10300584
3858.6,0.747,0.1029204
3858.6,0.789,0.10273976
3858.6,0.832,0.1024406
3858.6,0.874,0.102016844
3858.6,0.916,0.10143991
3858.6,0.958,0.100743756
4032.67,0.2,0.12710218
4032.67,0.242,0.118862376
4032.67,0.284,0.11267065
4032.67,0.326,0.108178616
4032.67,0.368,0.105033435
4032.67,0.411,0.102858126
4032.67,0.453,0.101473436
4032.67,0.495,0.10059902
4032.67,0.537,0.100054674
4032.67,0.579,0.09970679
4032.67,0.621,0.099484995
4032.67,0.663,0.09931281
4032.67,0.705,0.09911161
4032.67,0.747,0.0988489
4032.67,0.789,0.09850643
4032.67,0.832,0.09805758
4032.67,0.874,0.097505115
4032.67,0.916,0.096820705
4032.67,0.958,0.09603461
4206.74,0.2,0.12130105
4206.74,0.242,0.11371496
4206.74,0.284,0.10807441
4206.74,0.326,0.10399693
4206.74,0.368,0.10113521
4206.74,0.411,0.09912269
4206.74,0.453,0.09780134
4206.74,0.495,0.09691809
4206.74,0.537,0.096310124
4206.74,0.579,0.095868036
4206.74,0.621,0.09553258
4206.74,0.663,0.09523768
4206.74,0.705,0.09491551
4206.74,0.747,0.09453613
4206.74,0.789,0.0940869
4206.74,0.832,0.09354118
4206.74,0.874,0.09291
4206.74,0.916,0.092160024
4206.74,0.958,0.09132606
4380.81,0.2,0.114407495
4380.81,0.242,0.10768969
4380.81,0.284,0.10273238
4380.81,0.326,0.09916137
4380.81,0.368,0.09664862
4380.81,0.411,0.09486131
4380.81,0.453,0.093659535
4380.81,0.495,0.09282073
4380.81,0.537,0.09220694
4380.81,0.579,0.091721945
4380.81,0.621,0.0913261
4380.81,0.663,0.090960786
4380.81,0.705,0.09056466
4380.81,0.747,0.09011452
4380.81,0.789,0.08960117
4380.81,0.832,0.08900136
4380.81,0.874,0.08832698
4380.81,0.916,0.087545894
4380.81,0.958,0.08669107
4554.88,0.2,0.107020706
4554.88,0.242,0.10125022
4554.88,0.284,0.09702134
4554.88,0.326,0.09398386
4554.88,0.368,0.09184308
4554.88,0.411,0.0903079
4554.88,0.453,0.08925532
4554.88,0.495,0.08849291
4554.88,0.537,0.08790887
4554.88,0.579,0.08742266
4554.88,0.621,0.0870034
4554.88,0.663,0.08660505
4554.88,0.705,0.08617039
4554.88,0.747,0.08568611
4554.88,0.789,0.08514219
4554.88,0.832,0.08451678
4554.88,0.874,0.08382652
4554.88,0.916,0.08303995
4554.88,0.958,0.08219001
4728.96,0.2,0.099533215
4728.96,0.242,0.09470624
4728.96,0.284,0.09119055
4728.96,0.326,0.08867684
4728.96,0.368,0.08690806
4728.96,0.411,0.08563036
4728.96,0.453,0.08473794
4728.96,0.495,0.08407564
4728.96,0.537,0.083545536
4728.96,0.579,0.08308343
4728.96,0.621,0.08266909
4728.96,0.663,0.08226497
4728.96,0.705,0.08182127
4728.96,0.747,0.0813255
4728.96,0.789,0.08077515
4728.96,0.832,0.080148056
4728.96,0.874,0.07946328
4728.96,0.916,0.07868999
4728.96,0.958,0.077862166
4903.03,0.2,0.092188016
4903.03,0.242,0.08825616
4903.03,0.284,0.085413605
4903.03,0.326,0.08339335
4903.03,0.368,0.08197844
4903.03,0.411,0.08095258
4903.03,0.453,0.08022509
4903.03,0.495,0.07967099
4903.03,0.537,0.07920882
4903.03,0.579,0.07878861
4903.03,0.621,0.078399196
4903.03,0.663,0.0780094
4903.03,0.705,0.07757662
4903.03,0.747,0.07709
4903.03,0.789,0.076551236
4903.03,0.832,0.075941026
4903.03,0.874,0.07527623
4903.03,0.916,0.07452905
4903.03,0.958,0.07373276
5077.1,0.2,0.0851396
5077.1,0.242,0.08202765
5077.1,0.284,0.079801165
5077.1,0.326,0.07823252
5077.1,0.368,0.077147536
5077.1,0.411,0.07635955
5077.1,0.453,0.07579526
5077.1,0.495,0.07535436
5077.1,0.537,0.074967675
5077.1,0.579,0.07460185
5077.1,0.621,0.074250415
5077.1,0.663,0.073889546
5077.1,0.705,0.07347916
5077.1,0.747,0.073016964
5077.1,0.789,0.07250287
5077.1,0.832,0.071919054
5077.1,0.874,0.07128726
5077.1,0.916,0.07057746
5077.1,0.958,0.0698217
5251.17,0.2,0.07847325
5251.17,0.242,0.07609837
5251.17,0.284,0.07442625
5251.17,0.326,0.07327019
5251.17,0.368,0.07248313
5251.17,0.411,0.0719177
5251.17,0.453,0.07150867
5251.17,0.495,0.07117862
5251.17,0.537,0.07087634
5251.17,0.579,0.07056912
5251.17,0.621,0.07026316
5251.17,0.663,0.069941916
5251.17,0.705,0.06956557
5251.17,0.747,0.069135875
5251.17,0.789,0.068655305
5251.17,0.832,0.06810781
5251.17,0.874,0.06751246
5251.17,0.916,0.06684754
5251.17,0.958,0.066138156
5425.24,0.2,0.07223578
5425.24,0.242,0.07051471
5425.24,0.284,0.069334865
5425.24,0.326,0.06854568
5425.24,0.368,0.06802745
5425.24,0.411,0.067665555
5425.24,0.453,0.06740384
5425.24,0.495,0.06718351
5425.24,0.537,0.066961914
5425.24,0.579,0.0667187
5425.24,0.621,0.06646663
5425.24,0.663,0.066187896
5425.24,0.705,0.06585247
5425.24,0.747,0.06546133
5425.24,0.789,0.06501969
5425.24,0.832,0.06451399
5425.24,0.874,0.063963324
5425.24,0.916,0.06334413
5425.24,0.958,0.062684335
5599.32,0.2,0.0664468
5599.32,0.242,0.06529985
5599.32,0.284,0.06455191
5599.32,0.326,0.06408709
5599.32,0.368,0.06381273
5599.32,0.411,0.06363558
5599.32,0.453,0.063506804
5599.32,0.495,0.06339039
5599.32,0.537,0.063250765
5599.32,0.579,0.06307254
5599.32,0.621,0.062874556
5599.32,0.663,0.06264296
5599.32,0.705,0.062352434
5599.32,0.747,0.062004242
5599.32,0.789,0.061604492
5599.32,0.832,0.06114467
5599.32,0.874,0.060639393
5599.32,0.916,0.060068354
5599.32,0.958,0.059460122
5773.39,0.2,0.061108995
5773.39,0.242,0.060460176
5773.39,0.284,0.060092576
5773.39,0.326,0.059911072
5773.39,0.368,0.059853744
5773.39,0.411,0.059841655
5773.39,0.453,0.05983972
5773.39,0.495,0.0598176
5773.39,0.537,0.05975559
5773.39,0.579,0.059641737
5773.39,0.621,0.059498142
5773.39,0.663,0.0593154
5773.39,0.705,0.05906915
5773.39,0.747,0.058765672
5773.39,0.789,0.05841101
5773.39,0.832,0.05799795
5773.39,0.874,0.057538386
5773.39,0.916,0.057017483
5773.39,0.958,0.056461465
5947.46,0.2,0.056214083
5947.46,0.242,0.055996392
5947.46,0.284,0.055955492
5947.46,0.326,0.05602541
5947.46,0.368,0.05615573
5947.46,0.411,0.05629408
5947.46,0.453,0.056403477
5947.46,0.495,0.056471583
5947.46,0.537,0.056480963
5947.46,0.579,0.056431398
5947.46,0.621,0.056340367
5947.46,0.663,0.056205858
5947.46,0.705,0.056007087
5947.46,0.747,0.055746518
5947.46,0.789,0.05543836
5947.46,0.832,0.055069298
5947.46,0.874,0.05465805
5947.46,0.916,0.054185305
5947.46,0.958,0.05367763
6121.53,0.2,0.05174448
6121.53,0.242,0.051897246
6121.53,0.284,0.05213959
6121.53,0.326,0.05242647
6121.53,0.368,0.052723218
6121.53,0.411,0.05299185
6121.53,0.453,0.053203676
6121.53,0.495,0.053353526
6121.53,0.537,0.053432006
6121.53,0.579,0.05344028
6121.53,0.621,0.053401526
6121.53,0.663,0.053313028
6121.53,0.705,0.053158205
6121.53,0.747,0.052942608
6121.53,0.789,0.052677236
6121.53,0.832,0.052354604
6121.53,0.874,0.051988065
6121.53,0.916,0.051561516
6121.53,0.958,0.051104806
6295.6,0.2,0.047679696
6295.6,0.242,0.048149325
6295.6,0.284,0.04863569
6295.6,0.326,0.049109552
6295.6,0.368,0.04955132
6295.6,0.411,0.04993525
6295.6,0.453,0.050237574
6295.6,0.495,0.050460685
6295.6,0.537,0.05060271
6295.6,0.579,0.050664928
6295.6,0.621,0.050674766
6295.6,0.663,0.05063036
6295.6,0.705,0.050519105
6295.6,0.747,0.0503459
6295.6,0.789,0.050121926
6295.6,0.832,0.04984314
6295.6,0.874,0.049521342
6295.6,0.916,0.04914117
6295.6,0.958,0.048729163
6469.68,0.2,0.043997146
6469.68,0.242,0.044734817
6469.68,0.284,0.045431763
6469.68,0.326,0.046066016
6469.68,0.368,0.046630926
6469.68,0.411,0.04711697
6469.68,0.453,0.04749838
6469.68,0.495,0.047787648
6469.68,0.537,0.047985867
6469.68,0.579,0.048099324
6469.68,0.621,0.04815325
6469.68,0.663,0.04815166
6469.68,0.705,0.04808139
6469.68,0.747,0.047948357
6469.68,0.789,0.047764506
6469.68,0.832,0.047526322
6469.68,0.874,0.047245838
6469.68,0.916,0.046910428
6469.68,0.958,0.04654128
6643.75,0.2,0.04067067
6643.75,0.242,0.04163865
6643.75,0.284,0.04251035
6643.75,0.326,0.04328025
6643.75,0.368,0.043953694
6643.75,0.411,0.04452806
6643.75,0.453,0.044977583
6643.75,0.495,0.045326367
6643.75,0.537,0.04557588
6643.75,0.579,0.045734365
6643.75,0.621,0.04583042
6643.75,0.663,0.045868173
6643.75,0.705,0.045835175
