Strike,Maturity,Price
3600,0.118,0.14599709
3600,0.367,0.10941657
3600,0.597,0.10662441
3600,0.866,0.10831726
3800,0.118,0.15311103
3800,0.367,0.108719006
3800,0.597,0.10399993
3800,0.866,0.10357998
3900,0.118,0.15287617
4000,0.118,0.15088394
4000,0.367,0.10573529
4000,0.597,0.10027476
4000,0.866,0.098476894
4100,0.118,0.1475818
4100,0.367,0.103677034
4200,0.118,0.14332542
4200,0.367,0.10135668
4200,0.597,0.095862076
4200,0.866,0.09322085
4300,0.118,0.1383995
4300,0.367,0.09883855
4400,0.118,0.1330297
4400,0.367,0.0961805
4400,0.597,0.09106408
4400,0.866,0.087965585
4500,0.118,0.12739334
4500,0.367,0.09342511
4600,0.118,0.12162603
4600,0.367,0.09061247
4600,0.597,0.08610184
4600,0.866,0.08282322
4700,0.118,0.115833335
4700,0.367,0.08776963
4800,0.118,0.11009223
4800,0.195,0.09713733
4800,0.367,0.08492125
4800,0.597,0.08113226
4800,0.866,0.0778707
4900,0.118,0.10446362
4900,0.195,0.09287297
4900,0.367,0.082090616
5000,0.118,0.098987654
5000,0.195,0.08871085
5000,0.367,0.07929508
5000,0.597,0.076270506
5000,0.866,0.073160596
5100,0.118,0.09369364
5100,0.195,0.0846685
5100,0.367,0.07654373
5200,0.118,0.08860494
5200,0.195,0.08075873
5200,0.367,0.07385131
5200,0.597,0.07158921
5200,0.866,0.06872415
5250,0.118,0.08614072
5300,0.118,0.083730966
5300,0.195,0.07699207
5300,0.367,0.07122405
5300,0.597,0.069337055
5350,0.118,0.08137804
5350,0.195,0.07516538
5350,0.367,0.069938175
5400,0.118,0.07907922
5400,0.195,0.073377006
5400,0.367,0.06867256
5400,0.597,0.06714533
5400,0.866,0.06458056
5450,0.118,0.07683759
5450,0.195,0.07162432
5450,0.367,0.06742297
5500,0.118,0.074653044
5500,0.195,0.06990965
5500,0.367,0.066194884
5500,0.597,0.065021954
5500,0.866,0.06261835
5550,0.118,0.07252534
5550,0.195,0.06823424
5550,0.367,0.064988896
5600,0.118,0.07045196
5600,0.195,0.066596195
5600,0.367,0.06380299
5600,0.597,0.06296823
5600,0.866,0.060731545
5650,0.118,0.06843346
5650,0.195,0.06499658
5650,0.367,0.062636495
5700,0.118,0.066471145
5700,0.195,0.06343528
5700,0.367,0.061493114
5700,0.597,0.06098571
5700,0.866,0.058916803
5750,0.118,0.0645618
5750,0.195,0.061911818
5750,0.367,0.060372848
5800,0.118,0.062704876
5800,0.195,0.06042643
5800,0.367,0.05927075
5800,0.597,0.0590741
5800,0.866,0.05717848
5850,0.118,0.06090259
5850,0.195,0.058977205
5850,0.367,0.058193255
5900,0.118,0.059151426
5900,0.195,0.057564393
5900,0.367,0.05713494
5900,0.597,0.057235952
5900,0.866,0.05551067
5950,0.118,0.057450067
5950,0.195,0.056187984
5950,0.367,0.056099564
6000,0.118,0.05579846
6000,0.195,0.054847803
6000,0.367,0.05508938
6000,0.597,0.055469904
6000,0.866,0.053914152
6050,0.118,0.054196123
6050,0.195,0.05354212
6050,0.367,0.05409701
6100,0.118,0.05264294
6100,0.195,0.052272428
6100,0.367,0.053127456
6100,0.597,0.053777084
6100,0.866,0.05238541
6150,0.118,0.05113784
6150,0.367,0.052180238
6200,0.118,0.049675573
6200,0.195,0.049834277
6200,0.367,0.051254112
6200,0.597,0.052152373
6200,0.866,0.050924733
6250,0.118,0.04825901
6250,0.367,0.0503477
6300,0.118,0.046888318
6300,0.195,0.04752894
6300,0.367,0.049465235
6300,0.597,0.050600413
6300,0.866,0.049528435
6350,0.118,0.045559272
6400,0.118,0.04427259
6400,0.195,0.04535082
6400,0.367,0.04775898
6400,0.597,0.04911644
6400,0.866,0.048196454
6450,0.118,0.043027315
6500,0.118,0.041821543
6500,0.195,0.043298006
6500,0.367,0.04613452
6500,0.597,0.047700517
6600,0.118,0.039526176
6600,0.195,0.04136287
6600,0.367,0.044590775
6600,0.597,0.046348535
6600,0.866,0.045715783
6700,0.118,0.037379757
6700,0.195,0.039542194
6700,0.367,0.043123692
6700,0.597,0.045060433
6800,0.195,0.037827227
6800,0.367,0.041732505
6800,0.597,0.04383294
6800,0.866,0.04346561
6900,0.195,0.03621975
6900,0.367,0.04041262
6900,0.597,0.042666648
7000,0.195,0.034711063
7000,0.367,0.039163563
7000,0.597,0.041556973
7000,0.866,0.04142782
7100,0.367,0.037980154
7100,0.597,0.040502667
7200,0.367,0.036865667
7200,0.597,0.039501704
7200,0.866,0.03958572
7300,0.367,0.035809856
7300,0.597,0.038553666
7400,0.367,0.0348154
7400,0.597,0.037652723
7400,0.866,0.037925005
7500,0.367,0.03387873
7600,0.367,0.032996085
7600,0.597,0.035993062
7600,0.866,0.036428865
7700,0.367,0.032165207
7800,0.866,0.035082757
8000,0.866,0.03387279
8200,0.866,0.032788776
8400,0.866,0.03181664
8600,0.866,0.030945124
8800,0.866,0.030164985
