Strike,Maturity,0
3858.6,0.2,0.48390248
3858.6,0.242,0.45560545
3858.6,0.284,0.44041198
3858.6,0.326,0.43604153
3858.6,0.368,0.4391092
3858.6,0.411,0.44684827
3858.6,0.453,0.45661062
3858.6,0.495,0.4668818
3858.6,0.537,0.47639623
3858.6,0.579,0.48426202
3858.6,0.621,0.49003553
3858.6,0.663,0.49337345
3858.6,0.705,0.49389562
3858.6,0.747,0.4916191
3858.6,0.789,0.48674557
3858.6,0.832,0.47924724
3858.6,0.874,0.46966097
3858.6,0.916,0.45797008
3858.6,0.958,0.44477957
4032.67,0.2,0.4582449
4032.67,0.242,0.4314868
4032.67,0.284,0.41782725
4032.67,0.326,0.4131713
4032.67,0.368,0.4140439
4032.67,0.411,0.41791865
4032.67,0.453,0.42276928
4032.67,0.495,0.42744312
4032.67,0.537,0.4310851
4032.67,0.579,0.43319377
4032.67,0.621,0.43363664
4032.67,0.663,0.43231452
4032.67,0.705,0.4290411
4032.67,0.747,0.4239565
4032.67,0.789,0.4172649
4032.67,0.832,0.40890515
4032.67,0.874,0.39940754
4032.67,0.916,0.38866854
4032.67,0.958,0.377093
4206.74,0.2,0.41950306
4206.74,0.242,0.3989594
4206.74,0.284,0.38864094
4206.74,0.326,0.3848357
4206.74,0.368,0.38477734
4206.74,0.411,0.38648218
4206.74,0.453,0.3885307
4206.74,0.495,0.39011055
4206.74,0.537,0.39067805
4206.74,0.579,0.38995478
4206.74,0.621,0.3879558
4206.74,0.663,0.38466445
4206.74,0.705,0.3799906
4206.74,0.747,0.37407058
4206.74,0.789,0.36707574
4206.74,0.832,0.35892594
4206.74,0.874,0.35009122
4206.74,0.916,0.34044737
4206.74,0.958,0.33027044
4380.81,0.2,0.38238078
4380.81,0.242,0.36744797
4380.81,0.284,0.3599673
4380.81,0.326,0.35701552
4380.81,0.368,0.35650805
4380.81,0.411,0.3569523
4380.81,0.453,0.35738304
4380.81,0.495,0.35724849
4380.81,0.537,0.35618818
4380.81,0.579,0.3540657
4380.81,0.621,0.35094464
4380.81,0.663,0.34685767
4380.81,0.705,0.34174725
4380.81,0.747,0.33573127
4380.81,0.789,0.3289524
4380.81,0.832,0.32132083
4380.81,0.874,0.31326097
4380.81,0.916,0.30463627
4380.81,0.958,0.29565495
4554.88,0.2,0.34895432
4554.88,0.242,0.338509
4554.88,0.284,0.33331218
4554.88,0.326,0.33115157
4554.88,0.368,0.33051673
4554.88,0.411,0.33030015
4554.88,0.453,0.32985425
4554.88,0.495,0.32880306
4554.88,0.537,0.32691953
4554.88,0.579,0.32414162
4554.88,0.621,0.320572
4554.88,0.663,0.3162481
4554.88,0.705,0.31113136
4554.88,0.747,0.30532974
4554.88,0.789,0.29896516
4554.88,0.832,0.29194194
4554.88,0.874,0.28463387
4554.88,0.916,0.2769144
4554.88,0.958,0.26895154
4728.96,0.2,0.3192977
4728.96,0.242,0.31239635
4728.96,0.284,0.30905813
4728.96,0.326,0.30765954
4728.96,0.368,0.3071159
4728.96,0.411,0.30662513
4728.96,0.453,0.30575892
4728.96,0.495,0.3042705
4728.96,0.537,0.3020264
4728.96,0.579,0.29901424
4728.96,0.621,0.29534367
4728.96,0.663,0.29106066
4728.96,0.705,0.28614578
4728.96,0.747,0.28068888
4728.96,0.789,0.27479938
4728.96,0.832,0.26838252
4728.96,0.874,0.26177987
4728.96,0.916,0.2548636
4728.96,0.958,0.24778432
4903.03,0.2,0.29318923
4903.03,0.242,0.2890966
4903.03,0.284,0.28729507
4903.03,0.326,0.28661716
4903.03,0.368,0.2863001
4903.03,0.411,0.28577578
4903.03,0.453,0.28476748
4903.03,0.495,0.2831282
4903.03,0.537,0.28079087
4903.03,0.579,0.27777132
4903.03,0.621,0.27418703
4903.03,0.663,0.27009338
4903.03,0.705,0.26547045
4903.03,0.747,0.260409
4903.03,0.789,0.2550013
4903.03,0.832,0.2491638
4903.03,0.874,0.24319702
4903.03,0.916,0.23699708
4903.03,0.958,0.23067214
5077.1,0.2,0.27033544
5077.1,0.242,0.26848114
5077.1,0.284,0.26795918
5077.1,0.326,0.26794556
5077.1,0.368,0.2679298
5077.1,0.411,0.2675111
5077.1,0.453,0.2665289
5077.1,0.495,0.26490587
5077.1,0.537,0.2626205
5077.1,0.579,0.2597183
5077.1,0.621,0.25632155
5077.1,0.663,0.2524782
5077.1,0.705,0.24818797
5077.1,0.747,0.2435255
5077.1,0.789,0.23858745
5077.1,0.832,0.23327968
5077.1,0.874,0.22789085
5077.1,0.916,0.22231421
5077.1,0.958,0.21665275
5251.17,0.2,0.25041863
5251.17,0.242,0.25036407
5251.17,0.284,0.25090843
5251.17,0.326,0.25149503
5251.17,0.368,0.2518036
5251.17,0.411,0.25156432
5251.17,0.453,0.25069758
5251.17,0.495,0.24918546
5251.17,0.537,0.24704057
5251.17,0.579,0.24432516
5251.17,0.621,0.24115333
5251.17,0.663,0.23758906
5251.17,0.705,0.23363549
5251.17,0.747,0.22936392
5251.17,0.789,0.22485168
5251.17,0.832,0.22003102
5251.17,0.874,0.21515918
5251.17,0.916,0.21013466
5251.17,0.958,0.20505226
5425.24,0.2,0.23311615
5425.24,0.242,0.23451072
5425.24,0.284,0.23594798
5425.24,0.326,0.23707046
5425.24,0.368,0.23770206
5425.24,0.411,0.23767786
5425.24,0.453,0.23697375
5425.24,0.495,0.23561862
5425.24,0.537,0.23365435
5425.24,0.579,0.2311442
5425.24,0.621,0.22821999
5425.24,0.663,0.22493874
