Strike,Maturity,Theta
3858.6,0.2,0.08516954
3858.6,0.242,0.07916109
3858.6,0.284,0.07802644
3858.6,0.326,0.08006556
3858.6,0.368,0.08383049
3858.6,0.411,0.08832169
3858.6,0.453,0.09254899
3858.6,0.495,0.09613534
3858.6,0.537,0.09880659
3858.6,0.579,0.10044798
3858.6,0.621,0.10107352
3858.6,0.663,0.10073828
3858.6,0.705,0.099511
3858.6,0.747,0.09750662
3858.6,0.789,0.09485051
3858.6,0.832,0.09157048
3858.6,0.874,0.08792269
3858.6,0.916,0.08391997
3858.6,0.958,0.07967822
4032.67,0.2,0.0815644
4032.67,0.242,0.076657824
4032.67,0.284,0.07600642
4032.67,0.326,0.0779801
4032.67,0.368,0.0812828
4032.67,0.411,0.08505514
4032.67,0.453,0.088478796
4032.67,0.495,0.09125949
4032.67,0.537,0.09319471
4032.67,0.579,0.094209135
4032.67,0.621,0.09433401
4032.67,0.663,0.09362932
4032.67,0.705,0.0921641
4032.67,0.747,0.09003987
4032.67,0.789,0.087369666
4032.67,0.832,0.08417264
4032.67,0.874,0.080681086
4032.67,0.916,0.07690554
4032.67,0.958,0.0729396
4206.74,0.2,0.07864902
4206.74,0.242,0.07470743
4206.74,0.284,0.074379936
4206.74,0.326,0.07617616
4206.74,0.368,0.07897629
4206.74,0.411,0.08205017
4206.74,0.453,0.08473355
4206.74,0.495,0.086803
4206.74,0.537,0.08810177
4206.74,0.579,0.088591605
4206.74,0.621,0.088305406
4206.74,0.663,0.087310605
4206.74,0.705,0.0856683
4206.74,0.747,0.08347296
4206.74,0.789,0.080820344
4206.74,0.832,0.077720225
4206.74,0.874,0.07439616
4206.74,0.916,0.070839465
4206.74,0.958,0.067141846
4380.81,0.2,0.07607469
4380.81,0.242,0.07295519
4380.81,0.284,0.07283835
4380.81,0.326,0.074410744
4380.81,0.368,0.07671988
4380.81,0.411,0.07915858
4380.81,0.453,0.081196725
4380.81,0.495,0.082656756
4380.81,0.537,0.0834281
4380.81,0.579,0.08348393
4380.81,0.621,0.08287864
4380.81,0.663,0.08166408
4380.81,0.705,0.079902545
4380.81,0.747,0.07767083
4380.81,0.789,0.07506615
4380.81,0.832,0.07208205
4380.81,0.874,0.06892737
4380.81,0.916,0.06558627
4380.81,0.958,0.062136836
4554.88,0.2,0.073618874
4554.88,0.242,0.07119578
4554.88,0.284,0.07121919
4554.88,0.326,0.07256463
4554.88,0.368,0.07442957
4554.88,0.411,0.076319575
4554.88,0.453,0.077811204
4554.88,0.495,0.07876523
4554.88,0.537,0.079107374
4554.88,0.579,0.078827634
4554.88,0.621,0.077973135
4554.88,0.663,0.07660386
4554.88,0.705,0.07476592
4554.88,0.747,0.072539344
4554.88,0.789,0.07000007
4554.88,0.832,0.06714162
4554.88,0.874,0.064155415
4554.88,0.916,0.061023325
4554.88,0.958,0.057811737
4728.96,0.2,0.07116597
4728.96,0.242,0.06933111
4728.96,0.284,0.069456846
4728.96,0.326,0.07059367
4728.96,0.368,0.07208135
4728.96,0.411,0.07351026
4728.96,0.453,0.07455085
4728.96,0.495,0.075101264
4728.96,0.537,0.07510415
4728.96,0.579,0.07456351
4728.96,0.621,0.07353073
4728.96,0.663,0.07205296
4728.96,0.705,0.0701824
4728.96,0.747,0.067985475
4728.96,0.789,0.06552836
4728.96,0.832,0.06280236
4728.96,0.874,0.05998432
4728.96,0.916,0.057050023
4728.96,0.958,0.054064326
4903.03,0.2,0.06866133
4903.03,0.242,0.06733337
4903.03,0.284,0.067545086
4903.03,0.326,0.06850788
4903.03,0.368,0.06968218
4903.03,0.411,0.07073945
4903.03,0.453,0.07141678
4903.03,0.495,0.071648896
4903.03,0.537,0.07138915
4903.03,0.579,0.07065408
4903.03,0.621,0.069493845
4903.03,0.663,0.06795575
4903.03,0.705,0.06608595
4903.03,0.747,0.0639378
4903.03,0.789,0.06157417
4903.03,0.832,0.05898688
4903.03,0.874,0.056331445
4903.03,0.916,0.053590193
4903.03,0.958,0.05081423
5077.1,0.2,0.066100396
5077.1,0.242,0.065212734
5077.1,0.284,0.06550572
5077.1,0.326,0.066328585
5077.1,0.368,0.06725645
5077.1,0.411,0.06801636
5077.1,0.453,0.06841339
5077.1,0.495,0.068397485
5077.1,0.537,0.06794128
5077.1,0.579,0.06706999
5077.1,0.621,0.06582647
5077.1,0.663,0.064261034
5077.1,0.705,0.062410757
5077.1,0.747,0.060329325
5077.1,0.789,0.058070473
5077.1,0.832,0.05561827
5077.1,0.874,0.053123113
5077.1,0.916,0.050566263
5077.1,0.958,0.047983296
5251.17,0.2,0.06349842
5251.17,0.242,0.06299832
5251.17,0.284,0.06337246
5251.17,0.326,0.06409808
5251.17,0.368,0.064832374
5251.17,0.411,0.065365
5251.17,0.453,0.06554524
5251.17,0.495,0.06534377
5251.17,0.537,0.06474904
5251.17,0.579,0.063780144
5251.17,0.621,0.062490135
5251.17,0.663,0.060927324
5251.17,0.705,0.059115946
5251.17,0.747,0.057110924
5251.17,0.789,0.05496094
5251.17,0.832,0.052643314
5251.17,0.874,0.0503034
5251.17,0.916,0.047916703
5251.17,0.958,0.04551795
5425.24,0.2,0.06088333
5425.24,0.242,0.060727667
5425.24,0.284,0.061187975
5425.24,0.326,0.06184852
5425.24,0.368,0.06243931
5425.24,0.411,0.06279724
5425.24,0.453,0.06281836
5425.24,0.495,0.06248148
5425.24,0.537,0.06178769
5425.24,0.579,0.060761787
5425.24,0.621,0.05945707
5425.24,0.663,0.057909828
5425.24,0.705,0.056155484
5425.24,0.747,0.05423417
5425.24,0.789,0.052191578
5425.24,0.832,0.05000889
5425.24,0.874,0.047818877
5425.24,0.916,0.045591563
5425.24,0.958,0.043364123
5599.32,0.2,0.058288656
5599.32,0.242,0.05843968
5599.32,0.284,0.058988556
5599.32,0.326,0.059611954
5599.32,0.368,0.060101163
5599.32,0.411,0.060333483
5599.32,0.453,0.060235202
5599.32,0.495,0.05980568
5599.32,0.537,0.059050407
5599.32,0.579,0.0579935
5599.32,0.621,0.056692693
5599.32,0.663,0.05518154
5599.32,0.705,0.053490773
5599.32,0.747,0.051657442
5599.32,0.789,0.049723692
5599.32,0.832,0.04767253
5599.32,0.874,0.045622148
5599.32,0.916,0.043545607
5599.32,0.958,0.041477036
5773.39,0.2,0.055742275
5773.39,0.242,0.056168225
5773.39,0.284,0.05680911
5773.39,0.326,0.057414696
5773.39,0.368,0.057837274
5773.39,0.411,0.05798056
5773.39,0.453,0.057803385
5773.39,0.495,0.0573111
5773.39,0.537,0.05651739
5773.39,0.579,0.055454932
5773.39,0.621,0.05417404
5773.39,0.663,0.05271016
5773.39,0.705,0.051088195
5773.39,0.747,0.04934457
5773.39,0.789,0.047518637
5773.39,0.832,0.0455937
5773.39,0.874,0.043675132
5773.39,0.916,0.04174289
5773.39,0.958,0.03982324
5947.46,0.2,0.053272072
5947.46,0.242,0.053943567
5947.46,0.284,0.054673735
5947.46,0.326,0.055281352
5947.46,0.368,0.055660117
5947.46,0.411,0.05574701
5947.46,0.453,0.055516634
5947.46,0.495,0.05498716
5947.46,0.537,0.05417783
5947.46,0.579,0.053126328
5947.46,0.621,0.051877163
5947.46,0.663,0.050465815
5947.46,0.705,0.048920088
5947.46,0.747,0.047268603
5947.46,0.789,0.045549113
5947.46,0.832,0.04374018
5947.46,0.874,0.041949086
5947.46,0.916,0.040149648
5947.46,0.958,0.03836514
6121.53,0.2,0.050896686
6121.53,0.242,0.051786907
6121.53,0.284,0.05260598
6121.53,0.326,0.053226713
6121.53,0.368,0.053583212
6121.53,0.411,0.053631254
6121.53,0.453,0.05337273
6121.53,0.495,0.052825164
6121.53,0.537,0.052020214
6121.53,0.579,0.050988574
6121.53,0.621,0.049781244
6121.53,0.663,0.04843092
6121.53,0.705,0.046957854
6121.53,0.747,0.045396395
6121.53,0.789,0.043779243
6121.53,0.832,0.042085428
6121.53,0.874,0.0404127
6121.53,0.916,0.038736254
6121.53,0.958,0.03708078
6295.6,0.2,0.04863266
6295.6,0.242,0.049716055
6295.6,0.284,0.050619766
6295.6,0.326,0.05126374
6295.6,0.368,0.051612344
6295.6,0.411,0.05164207
6295.6,0.453,0.051368244
6295.6,0.495,0.05081996
6295.6,0.537,0.050027713
6295.6,0.579,0.049026556
6295.6,0.621,0.04786791
6295.6,0.663,0.046577647
6295.6,0.705,0.045182705
6295.6,0.747,0.043708958
6295.6,0.789,0.042188384
6295.6,0.832,0.040602632
6295.6,0.874,0.03904222
6295.6,0.916,0.03748094
6295.6,0.958,0.035941146
6469.68,0.2,0.04649125
6469.68,0.242,0.0477425
6469.68,0.284,0.04872703
6469.68,0.326,0.049399104
6469.68,0.368,0.049746774
6469.68,0.411,0.049773026
6469.68,0.453,0.04949928
6469.68,0.495,0.048959576
6469.68,0.537,0.048189655
6469.68,0.579,0.047226608
6469.68,0.621,0.046117175
6469.68,0.663,0.04489156
6469.68,0.705,0.04357298
6469.68,0.747,0.042184792
6469.68,0.789,0.040757336
6469.68,0.832,0.039272957
6469.68,0.874,0.03781554
6469.68,0.916,0.03636324
6469.68,0.958,0.03493308
6643.75,0.2,0.04447498
6643.75,0.242,0.04587736
6643.75,0.284,0.046933822
6643.75,0.326,0.04763306
6643.75,0.368,0.047992982
6643.75,0.411,0.0480247
6643.75,0.453,0.047756545
6643.75,0.495,0.04723363
6643.75,0.537,0.046494715
6643.75,0.579,0.04557281
6643.75,0.621,0.044516336
6643.75,0.663,0.04335609
6643.75,0.705,0.042110648
6643.75,0.747,0.040805817
6643.75,0.789,0.03946544
6643.75,0.832,0.03807787
6643.75,0.874,0.03671929
6643.75,0.916,0.03536447
6643.75,0.958,0.034037236
6817.82,0.2,0.042593
6817.82,0.242,0.044123154
6817.82,0.284,0.045242842
6817.82,0.326,0.045974895
6817.82,0.368,0.04634837
6817.82,0.411,0.046389412
6817.82,0.453,0.046136744
6817.82,0.495,0.045638923
6817.82,0.537,0.044931196
6817.82,0.579,0.044054575
6817.82,0.621,0.043052133
6817.82,0.663,0.0419543
6817.82,0.705,0.040779702
6817.82,0.747,0.03955328
6817.82,0.789,0.03829747
6817.82,0.832,0.036998376
6817.82,0.874,0.035729982
6817.82,0.916,0.03447085
6817.82,0.958,0.03323532
6991.89,0.2,0.040840626
6991.89,0.242,0.042477544
6991.89,0.284,0.04365492
6991.89,0.326,0.044417556
6991.89,0.368,0.044808
6991.89,0.411,0.04486645
6991.89,0.453,0.04463228
6991.89,0.495,0.044159748
6991.89,0.537,0.04348779
6991.89,0.579,0.04265724
6991.89,0.621,0.04170818
6991.89,0.663,0.040673826
6991.89,0.705,0.03956743
6991.89,0.747,0.0384164
6991.89,0.789,0.037239335
6991.89,0.832,0.03602527
6991.89,0.874,0.034840774
6991.89,0.916,0.033666156
6991.89,0.958,0.03251881
