Strike,Maturity,Theta
3600,0.118,0.12562275
3600,0.367,0.08877516
3600,0.597,0.11200989
3600,0.866,0.10159454
3800,0.118,0.11872353
3800,0.367,0.08469409
3800,0.597,0.10318181
3800,0.866,0.091343656
3900,0.118,0.115010366
4000,0.118,0.111247525
4000,0.367,0.081646934
4000,0.597,0.095521405
4000,0.866,0.08266048
4100,0.118,0.10749549
4100,0.367,0.08029519
4200,0.118,0.10378992
4200,0.367,0.078992486
4200,0.597,0.08876468
4200,0.866,0.07528063
4300,0.118,0.10015446
4300,0.367,0.07770411
4400,0.118,0.09660132
4400,0.367,0.07641428
4400,0.597,0.08274901
4400,0.866,0.068983674
4500,0.118,0.09313881
4500,0.367,0.075108126
4600,0.118,0.089768335
4600,0.367,0.07378505
4600,0.597,0.07735502
4600,0.866,0.06359598
4700,0.118,0.08649186
4700,0.367,0.07243822
4800,0.118,0.083307065
4800,0.195,0.070515715
4800,0.367,0.07107366
4800,0.597,0.07250812
4800,0.866,0.058970183
4900,0.118,0.08021521
4900,0.195,0.06901552
4900,0.367,0.06969573
5000,0.118,0.07721417
5000,0.195,0.06750147
5000,0.367,0.06830914
5000,0.597,0.06814092
5000,0.866,0.05499105
5100,0.118,0.074303776
5100,0.195,0.06597315
5100,0.367,0.066916585
5200,0.118,0.07148637
5200,0.195,0.064435855
5200,0.367,0.06552692
5200,0.597,0.06420295
5200,0.866,0.051558014
5250,0.118,0.070111446
5300,0.118,0.06875923
5300,0.195,0.06289528
5300,0.367,0.06414312
5300,0.597,0.062383015
5350,0.118,0.06743088
5350,0.195,0.0621259
5350,0.367,0.063455164
5400,0.118,0.06612343
5400,0.195,0.061358646
5400,0.367,0.062773295
5400,0.597,0.060651723
5400,0.866,0.048588596
5450,0.118,0.064840175
5450,0.195,0.060591213
5450,0.367,0.062091902
5500,0.118,0.06358062
5500,0.195,0.05982606
5500,0.367,0.061416592
5500,0.597,0.059010126
5500,0.866,0.047252677
5550,0.118,0.06234462
5550,0.195,0.059065137
5550,0.367,0.060747743
5600,0.118,0.061130732
5600,0.195,0.058307186
5600,0.367,0.06008466
5600,0.597,0.05744916
5600,0.866,0.046009295
5650,0.118,0.05993903
5650,0.195,0.057555035
5650,0.367,0.059424825
5700,0.118,0.058772527
5700,0.195,0.056808196
5700,0.367,0.05877367
5700,0.597,0.055967957
5700,0.866,0.04484509
5750,0.118,0.057627533
5750,0.195,0.05606714
5750,0.367,0.05813031
5800,0.118,0.05650467
5800,0.195,0.055333145
5800,0.367,0.05749155
5800,0.597,0.054558277
5800,0.866,0.043763645
5850,0.118,0.055406585
5850,0.195,0.054605078
5850,0.367,0.056861546
5900,0.118,0.0543316
5900,0.195,0.053884752
5900,0.367,0.05623708
5900,0.597,0.05322066
5900,0.866,0.04274986
5950,0.118,0.05327766
5950,0.195,0.05317256
5950,0.367,0.055622254
6000,0.118,0.052246597
6000,0.195,0.052469194
6000,0.367,0.055019096
6000,0.597,0.051947765
6000,0.866,0.041804515
6050,0.118,0.051238738
6050,0.195,0.0517733
6050,0.367,0.0544189
6100,0.118,0.050254494
6100,0.195,0.051087637
6100,0.367,0.053829126
6100,0.597,0.050741695
6100,0.866,0.04091569
6150,0.118,0.049293593
6150,0.367,0.05324883
6200,0.118,0.04835182
6200,0.195,0.049745392
6200,0.367,0.0526761
6200,0.597,0.049589902
6200,0.866,0.04008594
6250,0.118,0.047432378
6250,0.367,0.052111853
6300,0.118,0.046537295
6300,0.195,0.04844208
6300,0.367,0.051558837
6300,0.597,0.048496436
6300,0.866,0.0393067
6350,0.118,0.045661908
6400,0.118,0.044808265
6400,0.195,0.04717988
6400,0.367,0.05047579
6400,0.597,0.047458608
6400,0.866,0.03857664
6450,0.118,0.043976456
6500,0.118,0.04316453
6500,0.195,0.045963142
6500,0.367,0.04942952
6500,0.597,0.04647163
6600,0.118,0.041602943
6600,0.195,0.044788547
6600,0.367,0.048418246
6600,0.597,0.04552971
6600,0.866,0.03724512
6700,0.118,0.040121805
6700,0.195,0.04365962
6700,0.367,0.047444984
6700,0.597,0.044634443
6800,0.195,0.042571995
6800,0.367,0.04650725
6800,0.597,0.04378287
6800,0.866,0.03607007
6900,0.195,0.04153233
6900,0.367,0.045603316
6900,0.597,0.042972077
7000,0.195,0.0405354
7000,0.367,0.044733968
7000,0.597,0.042199023
7000,0.866,0.03502634
7100,0.367,0.043896645
7100,0.597,0.041462723
7200,0.367,0.04309673
7200,0.597,0.040761817
7200,0.866,0.03409741
7300,0.367,0.04232467
7300,0.597,0.0400957
7400,0.367,0.04158514
7400,0.597,0.039456088
7400,0.866,0.033268593
7500,0.367,0.04087774
7600,0.367,0.040197894
7600,0.597,0.038271785
7600,0.866,0.032525983
7700,0.367,0.039545238
7800,0.866,0.03185913
8000,0.866,0.03125699
8200,0.866,0.030715078
8400,0.866,0.03022378
8600,0.866,0.02977699
8800,0.866,0.02936994
