Strike,Maturity,Dupire
3858.6,0.2,0.24278796
3858.6,0.242,0.2299397
3858.6,0.284,0.22705391
3858.6,0.326,0.22964624
3858.6,0.368,0.23436263
3858.6,0.411,0.23894928
3858.6,0.453,0.24194229
3858.6,0.495,0.24302775
3858.6,0.537,0.24219902
3858.6,0.579,0.23972715
3858.6,0.621,0.23601782
3858.6,0.663,0.2313618
3858.6,0.705,0.22594017
3858.6,0.747,0.21997842
3858.6,0.789,0.21366298
3858.6,0.832,0.20693873
3858.6,0.874,0.2001942
3858.6,0.916,0.1933083
3858.6,0.958,0.18638834
4032.67,0.2,0.19641769
4032.67,0.242,0.19248684
4032.67,0.284,0.19452892
4032.67,0.326,0.19973588
4032.67,0.368,0.20584573
4032.67,0.411,0.21136327
4032.67,0.453,0.21518303
4032.67,0.495,0.21716951
4032.67,0.537,0.2173696
4032.67,0.579,0.21601513
4032.67,0.621,0.21345852
4032.67,0.663,0.20995496
4032.67,0.705,0.20567496
4032.67,0.747,0.20081781
4032.67,0.789,0.19555755
4032.67,0.832,0.18986495
4032.67,0.874,0.18407203
4032.67,0.916,0.17810036
4032.67,0.958,0.17204264
4206.74,0.2,0.17053598
4206.74,0.242,0.17044255
4206.74,0.284,0.17438406
4206.74,0.326,0.18027617
4206.74,0.368,0.1864637
4206.74,0.411,0.19188036
4206.74,0.453,0.19567385
4206.74,0.495,0.19781798
4206.74,0.537,0.19836405
4206.74,0.579,0.19752817
4206.74,0.621,0.1955861
4206.74,0.663,0.19276983
4206.74,0.705,0.18922108
4206.74,0.747,0.18511976
4206.74,0.789,0.18060859
4206.74,0.832,0.17566954
4206.74,0.874,0.17060699
4206.74,0.916,0.16534576
4206.74,0.958,0.15998815
4380.81,0.2,0.15373318
4380.81,0.242,0.1556285
4380.81,0.284,0.16034426
4380.81,0.326,0.16624528
4380.81,0.368,0.17207283
4380.81,0.411,0.17706075
4380.81,0.453,0.1805571
4380.81,0.495,0.18258098
4380.81,0.537,0.18320407
4380.81,0.579,0.18259643
4380.81,0.621,0.18101823
4380.81,0.663,0.17864227
4380.81,0.705,0.17560148
4380.81,0.747,0.17203552
4380.81,0.789,0.16809389
4380.81,0.832,0.1637448
4380.81,0.874,0.15926093
4380.81,0.916,0.154578
4380.81,0.958,0.14978713
4554.88,0.2,0.14165184
4554.88,0.242,0.1446911
4554.88,0.284,0.14968927
4554.88,0.326,0.15535617
4554.88,0.368,0.16071124
4554.88,0.411,0.1652088
4554.88,0.453,0.16834056
4554.88,0.495,0.17016087
4554.88,0.537,0.17075025
4554.88,0.579,0.17026225
4554.88,0.621,0.16890407
4554.88,0.663,0.1668399
4554.88,0.705,0.1641663
4554.88,0.747,0.16102229
4554.88,0.789,0.15752205
4554.88,0.832,0.15364492
4554.88,0.874,0.14963333
4554.88,0.916,0.14543487
4554.88,0.958,0.1411293
4728.96,0.2,0.13229662
4728.96,0.242,0.13602954
4728.96,0.284,0.14109287
4728.96,0.326,0.14645098
4728.96,0.368,0.15134937
4728.96,0.411,0.15538575
4728.96,0.453,0.15817259
4728.96,0.495,0.15979221
4728.96,0.537,0.160317
4728.96,0.579,0.15989035
4728.96,0.621,0.15869427
4728.96,0.663,0.1568554
4728.96,0.705,0.15447542
4728.96,0.747,0.15166683
4728.96,0.789,0.14852764
4728.96,0.832,0.14504448
4728.96,0.874,0.14143252
4728.96,0.916,0.13764325
4728.96,0.958,0.13375798
4903.03,0.2,0.12463862
4903.03,0.242,0.1288249
4903.03,0.284,0.13386232
4903.03,0.326,0.13891813
4903.03,0.368,0.14340967
4903.03,0.411,0.1470599
4903.03,0.453,0.14954737
4903.03,0.495,0.15099332
4903.03,0.537,0.15145619
4903.03,0.579,0.15106878
4903.03,0.621,0.14999302
4903.03,0.663,0.14834529
4903.03,0.705,0.14621185
4903.03,0.747,0.14368036
4903.03,0.789,0.14084671
4903.03,0.832,0.13770407
4903.03,0.874,0.13443294
4903.03,0.916,0.13100536
4903.03,0.958,0.1274872
5077.1,0.2,0.11812532
5077.1,0.242,0.122626305
5077.1,0.284,0.12760691
5077.1,0.326,0.13239223
5077.1,0.368,0.13655488
5077.1,0.411,0.13988534
5077.1,0.453,0.1421421
5077.1,0.495,0.1434433
5077.1,0.537,0.1438562
5077.1,0.579,0.14351283
5077.1,0.621,0.14254117
5077.1,0.663,0.14105418
5077.1,0.705,0.13912155
5077.1,0.747,0.13683389
5077.1,0.789,0.13427083
5077.1,0.832,0.13141787
5077.1,0.874,0.12845027
5077.1,0.916,0.12534487
5077.1,0.958,0.122145765
5251.17,0.2,0.1124397
5251.17,0.242,0.117177315
5251.17,0.284,0.12210091
5251.17,0.326,0.12667692
5251.17,0.368,0.1305707
5251.17,0.411,0.13365637
5251.17,0.453,0.1357308
5251.17,0.495,0.13692556
5251.17,0.537,0.13731855
5251.17,0.579,0.13700815
5251.17,0.621,0.13613233
5251.17,0.663,0.13479559
5251.17,0.705,0.13304165
5251.17,0.747,0.13096644
5251.17,0.789,0.12864281
5251.17,0.832,0.12604775
5251.17,0.874,0.12334952
5251.17,0.916,0.12052541
5251.17,0.958,0.117619395
5425.24,0.2,0.107398935
5425.24,0.242,0.11233293
5425.24,0.284,0.11721827
5425.24,0.326,0.121633895
5425.24,0.368,0.12532517
5425.24,0.411,0.1282171
5425.24,0.453,0.13016126
5425.24,0.495,0.13128321
5425.24,0.537,0.13166344
5425.24,0.579,0.13140012
5425.24,0.621,0.13062267
5425.24,0.663,0.12940827
5425.24,0.705,0.12782621
5425.24,0.747,0.12594011
5425.24,0.789,0.12382345
5425.24,0.832,0.12146406
5425.24,0.874,0.1190142
5425.24,0.916,0.116442
5425.24,0.958,0.113799244
5599.32,0.2,0.1028996
5599.32,0.242,0.10800744
5599.32,0.284,0.112876795
5599.32,0.326,0.11717859
5599.32,0.368,0.12072069
5599.32,0.411,0.12347575
5599.32,0.453,0.12531976
5599.32,0.495,0.12639792
5599.32,0.537,0.12678637
5599.32,0.579,0.12657233
5599.32,0.621,0.12588228
5599.32,0.663,0.124791406
5599.32,0.705,0.12335935
5599.32,0.747,0.121644765
5599.32,0.789,0.11971852
5599.32,0.832,0.11757511
5599.32,0.874,0.115342446
5599.32,0.916,0.11299838
5599.32,0.958,0.11059478
5773.39,0.2,0.098874435
5773.39,0.242,0.10415093
5773.39,0.284,0.10902945
5773.39,0.326,0.11325065
5773.39,0.368,0.11669284
5773.39,0.411,0.11935019
5773.39,0.453,0.121132016
5773.39,0.495,0.12218525
5773.39,0.537,0.122584365
5773.39,0.579,0.12242695
5773.39,0.621,0.12182338
5773.39,0.663,0.120846726
5773.39,0.705,0.11954975
5773.39,0.747,0.1179911
5773.39,0.789,0.11623895
5773.39,0.832,0.11429048
5773.39,0.874,0.11225514
5773.39,0.916,0.11012766
5773.39,0.958,0.10794377
