Strike,Maturity,Dupire
3600,0.118,2.1790435
3600,0.367,0.32016036
3600,0.597,0.28841197
3600,0.866,0.23249389
3800,0.118,0.3833682
3800,0.367,0.2473653
3800,0.597,0.2475989
3800,0.866,0.20772265
3900,0.118,0.29425848
4000,0.118,0.24530868
4000,0.367,0.21017872
4000,0.597,0.21894373
4000,0.866,0.18802816
4100,0.118,0.2139535
4100,0.367,0.19742158
4200,0.118,0.19189112
4200,0.367,0.18696494
4200,0.597,0.19742388
4200,0.866,0.17207788
4300,0.118,0.17535049
4300,0.367,0.17815275
4400,0.118,0.16235986
4400,0.367,0.17056853
4400,0.597,0.18055138
4400,0.866,0.15898456
4500,0.118,0.15179408
4500,0.367,0.1639185
4600,0.118,0.14295368
4600,0.367,0.15800841
4600,0.597,0.16691948
4600,0.866,0.14814551
4700,0.118,0.13538931
4700,0.367,0.15268508
4800,0.118,0.1287904
4800,0.195,0.12866288
4800,0.367,0.14785552
4800,0.597,0.15570067
4800,0.866,0.13912019
4900,0.118,0.122946106
4900,0.195,0.124367386
4900,0.367,0.14343983
5000,0.118,0.1176999
5000,0.195,0.12045854
5000,0.367,0.13938148
5000,0.597,0.14634646
5000,0.866,0.13159144
5100,0.118,0.11294002
5100,0.195,0.116861686
5100,0.367,0.13563338
5200,0.118,0.10858668
5200,0.195,0.11353132
5200,0.367,0.13216557
5200,0.597,0.13849027
5200,0.866,0.12531045
5250,0.118,0.10654021
5300,0.118,0.10457223
5300,0.195,0.1104322
5300,0.367,0.12894976
5300,0.597,0.13504255
5350,0.118,0.102679014
5350,0.195,0.10896116
5350,0.367,0.12742881
5400,0.118,0.100850366
5400,0.195,0.107539624
5400,0.367,0.12596881
5400,0.597,0.1318726
5400,0.866,0.1200891
5450,0.118,0.09908964
5450,0.195,0.10616043
5450,0.367,0.12455564
5500,0.118,0.09738892
5500,0.195,0.10482428
5500,0.367,0.12319607
5500,0.597,0.1289693
5500,0.866,0.11782071
5550,0.118,0.09574679
5550,0.195,0.10353183
5550,0.367,0.12188975
5600,0.118,0.09415802
5600,0.195,0.10227851
5600,0.367,0.12063274
5600,0.597,0.12630482
5600,0.866,0.11576719
5650,0.118,0.09261859
5650,0.195,0.101065956
5650,0.367,0.11941692
5700,0.118,0.09113397
5700,0.195,0.09989347
5700,0.367,0.118251204
5700,0.597,0.12386906
5700,0.866,0.11389932
5750,0.118,0.089693904
5750,0.195,0.098757245
5750,0.367,0.117131755
5800,0.118,0.088298306
5800,0.195,0.097658135
5800,0.367,0.11605204
5800,0.597,0.12163703
5800,0.866,0.11222647
5850,0.118,0.08695038
5850,0.195,0.096593015
5850,0.367,0.1150171
5900,0.118,0.085647985
5900,0.195,0.0955653
5900,0.367,0.11401949
5900,0.597,0.11960521
5900,0.866,0.11071671
5950,0.118,0.08438321
5950,0.195,0.09457265
5950,0.367,0.11306668
6000,0.118,0.08315995
6000,0.195,0.09361523
6000,0.367,0.11216077
6000,0.597,0.117755756
6000,0.866,0.10937365
6050,0.118,0.081978135
6050,0.195,0.09268873
6050,0.367,0.11128351
6100,0.118,0.08083858
6100,0.195,0.09179858
6100,0.367,0.11044857
6100,0.597,0.11608911
6100,0.866,0.108170964
6150,0.118,0.07973915
6150,0.367,0.109654546
6200,0.118,0.07867259
6200,0.195,0.09012053
6200,0.367,0.10889353
6200,0.597,0.11457257
6200,0.866,0.107116915
6250,0.118,0.077644244
6250,0.367,0.10816887
6300,0.118,0.07665846
6300,0.195,0.088573046
6300,0.367,0.10748575
6300,0.597,0.11321645
6300,0.866,0.10619138
6350,0.118,0.075705215
6400,0.118,0.07478946
6400,0.195,0.0871547
6400,0.367,0.10621664
6400,0.597,0.112013176
6400,0.866,0.10539684
6450,0.118,0.07391115
6500,0.118,0.073067434
6500,0.195,0.08587324
6500,0.367,0.105086915
6500,0.597,0.11094978
6600,0.118,0.07148741
6600,0.195,0.084718786
6600,0.367,0.10409051
6600,0.597,0.11001388
6600,0.866,0.10415429
6700,0.118,0.07005086
6700,0.195,0.083699964
6700,0.367,0.103228174
6700,0.597,0.10920866
6800,0.195,0.08280251
6800,0.367,0.10249718
6800,0.597,0.108529314
6800,0.866,0.103348695
6900,0.195,0.0820473
6900,0.367,0.10188767
6900,0.597,0.1079646
7000,0.195,0.0814197
7000,0.367,0.101399146
7000,0.597,0.107510425
7000,0.866,0.10292872
7100,0.367,0.101029046
7100,0.597,0.10716431
7200,0.367,0.10078768
7200,0.597,0.10692422
7200,0.866,0.10286079
7300,0.367,0.100653015
7300,0.597,0.106788225
7400,0.367,0.100632824
7400,0.597,0.106733434
7400,0.866,0.10311319
7500,0.367,0.10073126
7600,0.367,0.10093612
7600,0.597,0.10692293
7600,0.866,0.10365238
7700,0.367,0.101243764
7800,0.866,0.10445482
8000,0.866,0.10548631
8200,0.866,0.10673507
8400,0.866,0.10816371
8600,0.866,0.10975173
8800,0.866,0.11147434
