Strike,Maturity,0
3858.6,0.0,0.0
3858.6,0.2,1.2581842615466687
3858.6,0.242,2.6925507110399427
3858.6,0.284,4.458838685056006
3858.6,0.326,6.585574446140907
3858.6,0.368,9.004529466121143
3858.6,0.411,12.147226826708602
3858.6,0.453,14.76042878043973
3858.6,0.495,18.619900374628017
3858.6,0.537,22.13912216479022
3858.6,0.579,26.198153413319766
3858.6,0.621,30.043497439760262
3858.6,0.663,33.65371005637706
3858.6,0.705,38.32979768350984
3858.6,0.747,41.160326768144266
3858.6,0.789,46.54251627848209
3858.6,0.832,50.03422588474153
3858.6,0.874,54.732971990486774
3858.6,0.916,57.41921940941961
3858.6,0.958,58.87396447950825
4032.67,0.0,0.0
4032.67,0.2,2.609573371363929
4032.67,0.242,4.492909023273081
4032.67,0.284,7.372061298137603
4032.67,0.326,10.121650482594525
4032.67,0.368,13.542667111375097
4032.67,0.411,17.936434137721516
4032.67,0.453,21.14783348640271
4032.67,0.495,26.585432276416277
4032.67,0.537,30.347785806778358
4032.67,0.579,35.001636494379866
4032.67,0.621,40.24774439658528
4032.67,0.663,44.9825978792268
4032.67,0.705,49.77073655655796
4032.67,0.747,54.99295249347241
4032.67,0.789,58.265938245379566
4032.67,0.832,64.08359474248034
4032.67,0.874,67.55139899811725
4032.67,0.916,71.23368742031008
4032.67,0.958,76.71702586345106
4206.74,0.0,0.0
4206.74,0.2,4.469254379476984
4206.74,0.242,7.852012438554443
4206.74,0.284,11.80895781154382
4206.74,0.326,16.111051482064536
4206.74,0.368,20.098252440510947
4206.74,0.411,25.037612164024114
4206.74,0.453,30.67574161435029
4206.74,0.495,37.03864140977564
4206.74,0.537,41.017307385706516
4206.74,0.579,48.03447055833249
4206.74,0.621,51.74332628604076
4206.74,0.663,57.33892632827297
4206.74,0.705,63.05391604092299
4206.74,0.747,67.90362441096455
4206.74,0.789,73.15580838942024
4206.74,0.832,76.6411418245801
4206.74,0.874,81.31666354478199
4206.74,0.916,85.36185645623763
4206.74,0.958,91.48760191500105
4380.81,0.0,0.0
4380.81,0.2,8.080580819301819
4380.81,0.242,13.199703794861763
4380.81,0.284,18.315089826958072
4380.81,0.326,24.045372914986675
4380.81,0.368,30.24214295313698
4380.81,0.411,35.90782805213016
4380.81,0.453,42.60958455553477
4380.81,0.495,48.303061124617635
4380.81,0.537,54.93309567958152
4380.81,0.579,63.21195570572476
4380.81,0.621,68.49711486069849
4380.81,0.663,74.84607049744969
4380.81,0.705,80.4935572536411
4380.81,0.747,84.27354931835593
4380.81,0.789,93.79973938390312
4380.81,0.832,96.17903864965264
4380.81,0.874,101.89478175874241
4380.81,0.916,106.185869962156
4380.81,0.958,108.33929705290855
4554.88,0.0,0.0
4554.88,0.2,13.86856844099615
4554.88,0.242,21.09626097929061
4554.88,0.284,27.940058861611632
4554.88,0.326,36.42213703042557
4554.88,0.368,42.90517906466303
4554.88,0.411,50.50413115206285
4554.88,0.453,57.74730239343977
4554.88,0.495,65.25023223816775
4554.88,0.537,75.63084555454509
4554.88,0.579,81.52097352667727
4554.88,0.621,88.77092975590914
4554.88,0.663,95.72180810219312
4554.88,0.705,102.48430385121871
4554.88,0.747,108.44554718386254
4554.88,0.789,115.33341123614592
4554.88,0.832,118.5579135878989
4554.88,0.874,124.85018180513835
4554.88,0.916,128.94821934594506
4554.88,0.958,134.22093616614984
4728.96,0.0,0.0
4728.96,0.2,24.341635992142354
4728.96,0.242,33.827115689248146
4728.96,0.284,43.63113606278968
4728.96,0.326,52.86664529172864
4728.96,0.368,62.201025056859905
4728.96,0.411,72.51644217206335
4728.96,0.453,80.60156708542443
4728.96,0.495,89.53846862326286
4728.96,0.537,99.5885930179645
4728.96,0.579,108.8813053270282
4728.96,0.621,115.01263026415477
4728.96,0.663,119.03064913684838
4728.96,0.705,128.0037712988611
4728.96,0.747,135.55814385030698
4728.96,0.789,138.20424417426952
4728.96,0.832,146.3090781803767
4728.96,0.874,153.47990819738712
4728.96,0.916,160.4658389287268
4728.96,0.958,160.3292415627475
4903.03,0.0,0.0
4903.03,0.2,40.70573696429187
4903.03,0.242,53.86890516872138
4903.03,0.284,65.54626346299463
4903.03,0.326,76.35404428634841
4903.03,0.368,86.65554330124118
4903.03,0.411,99.28091460175426
4903.03,0.453,108.36832439834674
4903.03,0.495,119.43560118561041
4903.03,0.537,128.38647599413304
4903.03,0.579,138.48588239135913
4903.03,0.621,145.60555756129878
4903.03,0.663,155.2617816828143
4903.03,0.705,162.38756007101094
4903.03,0.747,168.52373546069
4903.03,0.789,174.893956348917
4903.03,0.832,180.93804807226968
4903.03,0.874,185.8000938324488
4903.03,0.916,190.34240454686054
4903.03,0.958,195.9527816778412
5077.1,0.0,0.0
5077.1,0.2,66.93091280306064
5077.1,0.242,81.58608169837483
5077.1,0.284,96.04920129175538
5077.1,0.326,110.21173601566338
5077.1,0.368,122.55715784102017
5077.1,0.411,135.25849360367454
5077.1,0.453,146.07367387068737
5077.1,0.495,156.0992559836105
5077.1,0.537,166.26740915654233
5077.1,0.579,177.04998972770574
5077.1,0.621,185.81982718490522
5077.1,0.663,194.1558128485185
5077.1,0.705,201.40975364427024
5077.1,0.747,210.87150430515422
5077.1,0.789,219.06789167422457
5077.1,0.832,224.34989017662562
5077.1,0.874,227.13287974892478
5077.1,0.916,232.16171238742265
5077.1,0.958,240.49904194302198
5251.17,0.0,0.0
5251.17,0.2,105.51975194707993
5251.17,0.242,122.48794026016974
5251.17,0.284,137.8552664859833
5251.17,0.326,154.1536105964731
5251.17,0.368,169.72808984015145
5251.17,0.411,182.48355821030546
5251.17,0.453,193.7094975821828
5251.17,0.495,205.03861953207436
5251.17,0.537,216.27904444393985
5251.17,0.579,227.00212963801704
5251.17,0.621,238.5316800514818
5251.17,0.663,246.3606165960288
5251.17,0.705,251.16997235774232
5251.17,0.747,255.11201577552393
5251.17,0.789,265.8275215593782
5251.17,0.832,272.12105639110314
5251.17,0.874,277.05045249088937
5251.17,0.916,285.7650426855983
5251.17,0.958,284.83036694403427
5425.24,0.0,0.0
5425.24,0.2,161.82207600491847
5425.24,0.242,181.4279260557138
5425.24,0.284,197.24539083854498
5425.24,0.326,212.9864691589678
5425.24,0.368,226.5305622960281
5425.24,0.411,240.59718832850658
5425.24,0.453,253.6193906704585
5425.24,0.495,266.77997177010343
5425.24,0.537,274.64355652933364
5425.24,0.579,284.6435273717185
5425.24,0.621,293.4963677571256
5425.24,0.663,302.77397190558634
5425.24,0.705,312.7987702787043
5425.24,0.747,315.7079970321127
5425.24,0.789,324.65771708034424
5425.24,0.832,329.5890300415962
5425.24,0.874,333.1018854792914
5425.24,0.916,340.4117248540909
5425.24,0.958,344.0769372144776
5599.32,0.0,87.03999999999996
5599.32,0.2,240.6177830911239
5599.32,0.242,255.28297595005017
5599.32,0.284,274.56724211752913
5599.32,0.326,288.2586841706915
5599.32,0.368,301.5546149496302
5599.32,0.411,315.60816433986685
5599.32,0.453,323.7717760337048
5599.32,0.495,336.76589474991107
5599.32,0.537,351.133717472585
5599.32,0.579,354.99663825848637
5599.32,0.621,367.14208421118434
5599.32,0.663,375.5220095505546
5599.32,0.705,381.064158414078
5599.32,0.747,386.2066168331951
5599.32,0.789,396.7653432112717
5599.32,0.832,396.7497009668368
5599.32,0.874,404.1237735836399
5599.32,0.916,404.52542114963256
5599.32,0.958,412.0494766487329
5773.39,0.0,261.1100000000006
5773.39,0.2,336.73031854732676
5773.39,0.242,355.263704314267
5773.39,0.284,368.99051109031313
5773.39,0.326,378.796803332536
5773.39,0.368,391.3317639004961
5773.39,0.411,403.86187633565055
5773.39,0.453,413.62171910657025
5773.39,0.495,426.27110225637955
5773.39,0.537,434.3959583460157
5773.39,0.579,440.7370302216139
5773.39,0.621,446.8555924624673
5773.39,0.663,455.8195887907746
5773.39,0.705,465.266583892795
5773.39,0.747,465.98407691668547
5773.39,0.789,469.7067509455734
5773.39,0.832,477.80406710078137
5773.39,0.874,480.8668931376949
5773.39,0.916,483.8257228276068
5773.39,0.958,486.4395009749287
5947.46,0.0,435.1800000000003
5947.46,0.2,457.32153115682905
5947.46,0.242,466.5602178061991
5947.46,0.284,477.9849726454548
5947.46,0.326,486.9465398772419
5947.46,0.368,497.52822534483465
5947.46,0.411,502.77952377133283
5947.46,0.453,517.4242705667438
5947.46,0.495,524.0159193391657
5947.46,0.537,529.4373184157524
5947.46,0.579,537.5749242560443
5947.46,0.621,543.8955646483614
5947.46,0.663,551.5742319401727
5947.46,0.705,554.5800856083915
5947.46,0.747,563.704598637558
5947.46,0.789,563.6524390456091
5947.46,0.832,567.8107447950232
5947.46,0.874,565.1154837670545
5947.46,0.916,577.0665218978929
5947.46,0.958,578.8293498415253
6121.53,0.0,609.25
6121.53,0.2,595.8377351799629
6121.53,0.242,602.0759487746885
6121.53,0.284,606.7195352624329
6121.53,0.326,614.524641809369
6121.53,0.368,621.2056150915837
6121.53,0.411,622.778874563221
6121.53,0.453,629.8772737660918
6121.53,0.495,639.4380296367244
6121.53,0.537,640.5145726675855
6121.53,0.579,646.8312805942362
6121.53,0.621,650.4716870408848
6121.53,0.663,658.2717761103864
6121.53,0.705,661.4208467836211
6121.53,0.747,665.20306671644
6121.53,0.789,667.685823863648
