,0
0,1.4862713813781738
1,1.8923207521438599
2,2.020258665084839
3,2.0415737628936768
4,2.0024242401123047
5,1.9204224348068237
6,1.8024705648422241
7,1.6496591567993164
8,1.4581902027130127
9,1.2175589799880981
10,0.9036687612533569
11,0.45447319746017456
12,-0.3600073754787445
13,-1.0562734603881836
14,-0.7432982921600342
15,-1.073293924331665
16,-1.5469436645507812
17,-1.318715214729309
18,-1.6309876441955566
19,-1.5665749311447144
20,-1.542374610900879
21,-1.875800609588623
22,-1.7395094633102417
23,-1.7860475778579712
24,-2.0920987129211426
25,-1.9540228843688965
26,-2.099987745285034
27,-2.2641115188598633
28,-2.2374300956726074
29,-2.5042800903320312
30,-2.5413477420806885
31,-2.500319004058838
32,-2.803256034851074
33,-2.8546016216278076
34,-2.60573410987854
35,-2.474238634109497
36,-2.75278377532959
37,-2.1795361042022705
38,-2.291672945022583
39,-2.78159499168396
40,-2.6567344665527344
41,-2.8803160190582275
42,-2.8504505157470703
43,-2.8405892848968506
44,-2.8849375247955322
45,-2.8443963527679443
46,-2.9013218879699707
47,-2.8609302043914795
48,-2.9048633575439453
49,-2.898521900177002
50,-2.9509646892547607
51,-2.917628049850464
52,-3.0003292560577393
53,-2.90043568611145
54,-3.058157205581665
55,-2.933478832244873
56,-3.0562963485717773
57,-3.0743844509124756
58,-2.9715218544006348
59,-3.0968551635742188
60,-3.1529505252838135
61,-3.1031930446624756
62,-3.0243985652923584
63,-3.1292736530303955
64,-3.228679656982422
65,-3.2698538303375244
66,-3.3031797409057617
67,-3.333500623703003
68,-3.347896099090576
69,-2.8684935569763184
70,-2.9138410091400146
71,-3.4090797901153564
72,-3.435795307159424
73,-3.41919207572937
74,-2.6542038917541504
75,-3.130103826522827
76,-2.0392565727233887
77,-1.5483521223068237
78,-1.4372608661651611
79,-1.5366473197937012
80,-1.8505858182907104
81,-2.5550692081451416
82,-2.769216775894165
83,-2.294764995574951
84,-2.1838135719299316
85,-2.2566351890563965
86,-2.5092694759368896
87,-2.9382741451263428
88,-2.618152618408203
89,-2.3747365474700928
90,-2.495810031890869
91,-2.934382915496826
92,-2.8010177612304688
93,-2.5748844146728516
94,-2.6273460388183594
95,-2.995757579803467
96,-2.92661714553833
97,-2.739579677581787
98,-3.1765613555908203
99,-2.834517002105713
100,-2.6291778087615967
101,-2.92037034034729
102,-3.1755635738372803
103,-3.0243844985961914
104,-3.3766467571258545
105,-3.200493097305298
106,-3.406419515609741
107,-3.292938232421875
108,-3.3549461364746094
109,-3.4334299564361572
110,-3.2706894874572754
111,-3.4482388496398926
112,-3.4825613498687744
113,-3.331231117248535
114,-3.4005825519561768
115,-3.562390089035034
116,-3.6120495796203613
117,-3.628241539001465
118,-3.4651377201080322
119,-3.092710256576538
120,-3.570702075958252
121,-2.4246771335601807
122,-2.027587652206421
123,-2.008870840072632
124,-2.2750306129455566
125,-3.077160596847534
126,-2.6028993129730225
127,-2.1071338653564453
128,-1.9427785873413086
129,-1.9209903478622437
130,-1.9927736520767212
131,-2.1467294692993164
132,-2.395296573638916
133,-2.754729747772217
134,-2.8687007427215576
135,-2.539376735687256
136,-2.3888113498687744
137,-2.4424855709075928
138,-2.666327476501465
139,-2.8824660778045654
140,-2.7871949672698975
141,-2.6707632541656494
142,-2.6778197288513184
143,-2.836838483810425
144,-3.1235103607177734
145,-3.0175158977508545
146,-2.990241289138794
147,-3.398669481277466
148,-3.0340354442596436
149,-3.0761020183563232
150,-3.377418279647827
151,-3.3151984214782715
152,-3.369164228439331
153,-3.599545955657959
154,-3.138678550720215
155,-3.3799240589141846
156,-3.068148612976074
157,-2.9021852016448975
158,-3.3126235008239746
159,-2.9571070671081543
160,-2.7517058849334717
161,-3.245454788208008
162,-2.941718816757202
163,-2.5940611362457275
164,-2.680903911590576
165,-3.2833075523376465
166,-2.839733600616455
167,-2.4166998863220215
168,-2.4384050369262695
169,-2.840197801589966
170,-3.4847660064697266
171,-3.0026116371154785
172,-3.014988660812378
173,-3.5130696296691895
174,-2.996610164642334
175,-2.8419084548950195
176,-3.345520257949829
177,-2.977327823638916
178,-2.6307363510131836
179,-2.6948330402374268
180,-3.1776933670043945
181,-3.2073183059692383
182,-2.887749433517456
183,-3.151805877685547
184,-3.4089410305023193
185,-3.1374757289886475
186,-3.333292007446289
187,-3.436560869216919
188,-3.3940556049346924
189,-3.5604870319366455
190,-3.611543893814087
191,-3.3210301399230957
192,-3.604496955871582
193,-3.0701940059661865
194,-2.9671528339385986
195,-3.605379581451416
196,-2.794691562652588
197,-2.399228572845459
198,-2.3846940994262695
199,-2.649430513381958
200,-3.285216808319092
201,-2.9790267944335938
202,-2.6058080196380615
203,-2.509713888168335
204,-2.5909597873687744
205,-2.878066062927246
206,-3.4132957458496094
207,-2.9707891941070557
208,-2.7296197414398193
209,-2.9212446212768555
210,-3.7166576385498047
211,-2.912428617477417
212,-2.6182045936584473
213,-2.706073045730591
214,-3.289365768432617
215,-3.0390920639038086
216,-2.625152587890625
217,-2.686777353286743
218,-3.1903281211853027
219,-3.3215928077697754
220,-2.939911127090454
221,-2.9871959686279297
222,-3.4182450771331787
223,-3.2220797538757324
224,-2.9803218841552734
225,-3.3117458820343018
226,-3.441174268722534
227,-3.2253987789154053
228,-3.725797176361084
229,-3.0576038360595703
230,-2.870570421218872
231,-3.326164484024048
232,-3.236940860748291
233,-2.9201321601867676
234,-3.1581835746765137
235,-3.7616753578186035
236,-3.3611700534820557
237,-3.7579898834228516
238,-3.255870819091797
239,-3.2191529273986816
240,-3.931764602661133
241,-3.2484803199768066
242,-3.560351610183716
243,-3.129098653793335
244,-2.8363711833953857
245,-3.085153579711914
246,-3.9402987957000732
247,-3.355527400970459
248,-3.868330955505371
249,-2.983208179473877
250,-2.6514813899993896
251,-2.7259247303009033
252,-3.3016293048858643
253,-3.2052133083343506
254,-2.793747663497925
255,-2.948960304260254
256,-3.7456157207489014
257,-2.925305128097534
258,-2.5169177055358887
259,-2.419175624847412
260,-2.5060582160949707
261,-2.81091570854187
262,-3.5770206451416016
263,-2.9059674739837646
264,-2.4244790077209473
265,-2.2847585678100586
266,-2.3366105556488037
267,-2.580960988998413
268,-3.149411201477051
269,-3.3741769790649414
270,-2.919686794281006
271,-2.8290390968322754
272,-3.0135114192962646
273,-3.59908127784729
274,-3.12754225730896
275,-2.79645037651062
276,-2.9081320762634277
277,-3.6311397552490234
278,-2.9552392959594727
279,-2.487534999847412
280,-2.349339723587036
281,-2.375431537628174
282,-2.546226739883423
283,-2.93058180809021
284,-3.6685287952423096
285,-2.9842488765716553
286,-2.6194374561309814
287,-2.5724501609802246
288,-2.7598888874053955
289,-3.2543911933898926
290,-3.389740467071533
291,-3.011291742324829
292,-2.945054531097412
293,-3.1656439304351807
294,-3.7351019382476807
295,-3.202538013458252
296,-3.068284749984741
297,-3.5501649379730225
298,-3.208826780319214
299,-2.8669750690460205
300,-2.9585914611816406
301,-3.5457372665405273
302,-3.1989216804504395
303,-2.8116295337677
304,-2.853565216064453
305,-3.2438547611236572
306,-3.5277812480926514
307,-3.165078639984131
308,-3.1325254440307617
309,-3.460617780685425
310,-3.586179256439209
311,-3.4268031120300293
312,-3.9420549869537354
313,-3.4122426509857178
314,-3.6191658973693848
315,-3.4189298152923584
316,-3.3702244758605957
317,-4.010132312774658
318,-3.7310118675231934
319,-3.9127094745635986
320,-4.065986156463623
321,-3.8567557334899902
322,-3.795534372329712
323,-4.106739521026611
324,-4.121301651000977
325,-3.6100854873657227
326,-4.188869953155518
327,-3.2032434940338135
328,-3.1490421295166016
329,-4.1772074699401855
330,-2.6113061904907227
331,-2.078864097595215
332,-1.8433327674865723
333,-1.7373045682907104
334,-1.7118545770645142
335,-1.7472851276397705
336,-1.835744023323059
337,-1.9768402576446533
338,-2.1779041290283203
339,-2.4578187465667725
340,-2.846176862716675
341,-3.1957104206085205
342,-2.930572748184204
343,-2.6383957862854004
344,-2.517159938812256
345,-2.5307884216308594
346,-2.6645078659057617
347,-2.913649559020996
348,-3.165452241897583
349,-3.1122796535491943
350,-2.9691824913024902
351,-2.9608592987060547
352,-3.1810247898101807
353,-3.816422462463379
354,-3.247134208679199
355,-3.1024515628814697
356,-3.640606164932251
357,-2.9857702255249023
358,-2.662848711013794
359,-2.7164907455444336
360,-3.1571767330169678
361,-3.9752426147460938
362,-3.8793818950653076
363,-3.594268798828125
364,-3.6016182899475098
365,-3.853113889694214
366,-3.8863677978515625
367,-3.637281656265259
368,-3.8756444454193115
369,-3.1856114864349365
370,-2.8969812393188477
371,-3.164062738418579
372,-4.190443992614746
373,-3.726069211959839
374,-4.078428268432617
375,-4.174525260925293
376,-4.063860893249512
377,-3.6126036643981934
378,-4.054823398590088
379,-3.030188798904419
380,-2.6667122840881348
381,-2.6521334648132324
382,-2.894975185394287
383,-3.6452064514160156
384,-3.071256637573242
385,-2.5468790531158447
386,-2.3859758377075195
387,-2.4012627601623535
388,-2.5637707710266113
389,-2.9085986614227295
390,-3.402721881866455
391,-3.1668529510498047
392,-2.8686797618865967
393,-2.783541440963745
394,-2.879967212677002
395,-3.2352099418640137
396,-3.823873996734619
397,-3.365861177444458
398,-3.566084623336792
399,-3.639713764190674
400,-3.537719964981079
401,-3.9135122299194336
402,-4.189587116241455
403,-3.5246410369873047
404,-3.6587491035461426
405,-3.7050702571868896
406,-3.5547995567321777
407,-3.9560582637786865
408,-3.7283754348754883
409,-4.293059349060059
410,-3.7111551761627197
411,-4.0159125328063965
412,-4.219598770141602
413,-4.007668495178223
414,-3.7000272274017334
415,-3.756436824798584
416,-3.7061219215393066
417,-3.727414131164551
418,-3.9136228561401367
419,-4.294920921325684
420,-3.2515275478363037
421,-3.1075401306152344
422,-3.7494637966156006
423,-2.989818572998047
424,-2.5691468715667725
425,-2.48604679107666
426,-2.588228940963745
427,-2.8969194889068604
428,-3.628087043762207
429,-3.147933006286621
430,-2.654792547225952
431,-2.5057265758514404
432,-2.5336697101593018
433,-2.714841604232788
434,-3.0827484130859375
435,-3.4502062797546387
436,-3.1682732105255127
437,-2.9679412841796875
438,-2.981828451156616
439,-3.263638734817505
440,-4.008772850036621
441,-3.3289146423339844
442,-3.2287893295288086
443,-3.857887029647827
444,-3.068179130554199
445,-2.7051210403442383
446,-2.6799628734588623
447,-2.9043760299682617
448,-3.6227824687957764
449,-3.2705769538879395
450,-2.7676708698272705
451,-2.6673617362976074
452,-2.77272891998291
453,-3.069821834564209
454,-3.451228618621826
455,-3.2616634368896484
456,-3.024902582168579
457,-2.9702646732330322
458,-3.0958034992218018
459,-3.4893574714660645
460,-3.710465431213379
461,-3.4639999866485596
462,-3.9234611988067627
463,-3.2950081825256348
464,-2.9246950149536133
465,-2.9588797092437744
466,-3.409897804260254
467,-3.682893753051758
468,-3.463183641433716
469,-4.080016613006592
470,-3.348881244659424
471,-3.074930191040039
472,-3.165860891342163
473,-3.6151862144470215
474,-3.5645625591278076
475,-3.245262384414673
476,-3.4300570487976074
477,-4.085380554199219
478,-3.6202261447906494
479,-3.9329729080200195
480,-3.370596170425415
481,-3.08461594581604
482,-3.3780980110168457
483,-4.030779838562012
484,-3.955641031265259
485,-3.7981863021850586
486,-3.9257359504699707
487,-3.6844773292541504
488,-3.624596118927002
489,-4.192559719085693
490,-3.8674285411834717
491,-4.141115665435791
492,-4.236706256866455
