,0
0,2.1698858737945557
1,2.576732873916626
2,2.6964290142059326
3,2.7068161964416504
4,2.65360426902771
5,2.552680492401123
6,2.4081342220306396
7,2.216285467147827
8,1.9641398191452026
9,1.6197863817214966
10,1.0910630226135254
11,-0.12079007923603058
12,0.4292052388191223
13,0.9502676725387573
14,1.100341558456421
15,1.103950023651123
16,1.0131566524505615
17,0.8403332829475403
18,0.5759621858596802
19,0.17771288752555847
20,-0.5143088102340698
21,-1.8104236125946045
22,-1.47672438621521
23,-1.9438318014144897
24,-1.4320521354675293
25,-1.3945611715316772
26,-2.0474090576171875
27,-1.7236264944076538
28,-1.3781496286392212
29,-1.3472522497177124
30,-1.4975848197937012
31,-1.809117317199707
32,-2.2676806449890137
33,-1.9492826461791992
34,-1.7467751502990723
35,-1.9838321208953857
36,-2.429321050643921
37,-2.215667486190796
38,-2.1135942935943604
39,-2.1284139156341553
40,-2.2570314407348633
41,-2.503995180130005
42,-2.2550268173217773
43,-2.204777956008911
44,-2.507908344268799
45,-2.4059834480285645
46,-2.264888048171997
47,-2.282710313796997
48,-2.452681064605713
49,-2.557325601577759
50,-2.4035391807556152
51,-2.576390027999878
52,-2.5265822410583496
53,-2.4528250694274902
54,-2.5626869201660156
55,-2.6068615913391113
56,-2.5330586433410645
57,-2.670203685760498
58,-2.5886800289154053
59,-2.6112258434295654
60,-2.693516492843628
61,-2.6267917156219482
62,-2.723982572555542
63,-2.6702024936676025
64,-2.730332136154175
65,-2.695655345916748
66,-2.769228458404541
67,-2.719208002090454
68,-2.798630952835083
69,-2.706907033920288
70,-2.8786392211914062
71,-2.7509078979492188
72,-2.9513399600982666
73,-2.7503654956817627
74,-2.9060850143432617
75,-3.0952138900756836
76,-3.018174171447754
77,-2.5271127223968506
78,-2.562377691268921
79,-3.186976194381714
80,-3.139721632003784
81,-2.6522576808929443
82,-3.283498525619507
83,-1.8814677000045776
84,-1.3739609718322754
85,-1.1796109676361084
86,-1.1304007768630981
87,-1.1742327213287354
88,-1.2852418422698975
89,-1.441473364830017
90,-1.6163692474365234
91,-1.7863199710845947
92,-1.9520870447158813
93,-2.1466400623321533
94,-2.4354867935180664
95,-2.430833339691162
96,-2.1573073863983154
97,-2.1122987270355225
98,-2.2494735717773438
99,-2.5386383533477783
100,-2.4827733039855957
101,-2.3393301963806152
102,-2.30855131149292
103,-2.367114782333374
104,-2.5162339210510254
105,-2.6291861534118652
106,-2.4906129837036133
107,-2.5498499870300293
108,-2.7609784603118896
109,-2.7183940410614014
110,-2.7321584224700928
111,-2.877807140350342
112,-2.735781192779541
113,-2.775285482406616
114,-2.807459831237793
115,-2.733415365219116
116,-2.832462787628174
117,-2.749217987060547
118,-2.822761297225952
119,-2.8380978107452393
120,-2.8483874797821045
121,-2.937800168991089
122,-2.8870697021484375
123,-2.9611122608184814
124,-2.926830530166626
125,-2.983570098876953
126,-2.9852256774902344
127,-3.0078890323638916
128,-3.1207022666931152
129,-3.103830575942993
130,-2.807100296020508
131,-3.1635069847106934
132,-2.5491623878479004
133,-2.7088568210601807
134,-2.8988523483276367
135,-2.805873155593872
136,-3.2566277980804443
137,-2.9847826957702637
138,-2.9798624515533447
139,-3.21112060546875
140,-2.3960185050964355
141,-2.114668846130371
142,-2.309419631958008
143,-3.2685601711273193
144,-2.133713483810425
145,-1.7687338590621948
146,-1.6930367946624756
147,-1.7254794836044312
148,-1.795759677886963
